code,description
"A00","Cólera"
"A01","Febres tifóide e paratifóide"
"A02","Outras infecções por Salmonella"
"A03","Shiguelose"
"A04","Outras infecções intestinais bacterianas"
"A05","Outras intoxicações alimentares bacterianas"
"A06","Amebíase"
"A07","Outras doenças intestinais por protozoários"
"A08","Infecções intestinais virais, outras e as não especificadas"
"A09","Diarréia e gastroenterite de origem infecciosa presumível"
"A15","Tuberculose respiratória, com confirmação bacteriológica e histológica"
"A16","Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica"
"A17","Tuberculose do sistema nervoso"
"A18","Tuberculose de outros órgãos"
"A19","Tuberculose miliar"
"A20","Peste"
"A22","Carbúnculo"
"A23","Brucelose"
"A24","Mormo e melioidose"
"A25","Febres transmitidas por mordedura de rato"
"A26","Erisipelóide"
"A27","Leptospirose"
"A28","Outras doenças bacterianas zoonóticas não classificadas em outra parte"
"A30","Hanseníase [doença de Hansen] [lepra]"
"A31","Infecções devidas a outras micobactérias"
"A32","Listeriose [listeríase]"
"A35","Outros tipos de tétano"
"A37","Coqueluche"
"A39","Infecção meningogócica"
"A40","Septicemia estreptocócica"
"A41","Outras septicemias"
"A42","Actinomicose"
"A43","Nocardiose"
"A44","Bartonelose"
"A46","Erisipela"
"A48","Outras doenças bacterianas não classificadas em outra parte"
"A49","Infecção bacteriana de local não especificado"
"A50","Sífilis congênita"
"A51","Sífilis precoce"
"A52","Sífilis tardia"
"A53","Outras formas e as não especificadas da sífilis"
"A54","Infecção gonocócica"
"A55","Linfogranuloma (venéreo) por clamídia"
"A56","Outras infecções causadas por clamídias transmitidas por via sexual"
"A57","Cancro mole"
"A58","Granuloma inguinal"
"A60","Infecções anogenitais pelo vírus do herpes [herpes simples]"
"A63","Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte"
"A64","Doenças sexualmente transmitidas, não especificadas"
"A66","Bouba"
"A67","Pinta [carate]"
"A68","Febres recorrentes [Borrelioses]"
"A69","Outras infecções por espiroquetas"
"A70","Infecções causadas por Clamídia psittaci"
"A71","Tracoma"
"A74","Outras doenças causadas por Clamídias"
"A77","Febre maculosa [rickettsioses transmitidas por carrapatos]"
"A78","Febre Q"
"A80","Poliomielite aguda"
"A81","Infecções por vírus atípico do sistema nervoso central"
"A82","Raiva"
"A83","Encefalite por vírus transmitidos por mosquitos"
"A85","Outras encefalites virais, não classificadas em outra parte"
"A86","Encefalite viral, não especificada"
"A87","Meningite viral"
"A88","Outras infecções virais do sistema nervoso central não classificadas em outra parte"
"A89","Infecções virais não especificadas do sistema nervoso central"
"A90","Dengue [dengue clássico]"
"A91","Febre hemorrágica devida ao vírus do dengue"
"A92","Outras febres virais transmitidas por mosquitos"
"A93","Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte"
"A94","Febre viral transmitida por artrópodes, não especificada"
"A95","Febre amarela"
"A98","Outras febres hemorrágicas por vírus, não classificadas em outra parte"
"A99","Febres hemorrágicas virais não especificadas"
