code,description
"B00","Infecções pelo vírus do herpes [herpes simples]"
"B01","Varicela"
"B02","Herpes zoster [Zona]"
"B03","Varíola"
"B04","Varíola dos macacos [Monkeypox]"
"B06","Rubéola"
"B07","Verrugas de origem viral"
"B08","Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte"
"B09","Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas"
"B15","Hepatite aguda A"
"B16","Hepatite aguda B"
"B17","Outras hepatites virais agudas"
"B18","Hepatite viral crônica"
"B19","Hepatite viral não especificada"
"B20","Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias"
"B21","Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas"
"B22","Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas"
"B23","Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças"
"B24","Doença pelo vírus da imunodeficiência humana [HIV] não especificada"
"B25","Doença por citomegalovírus"
"B26","Caxumba [Parotidite epidêmica]"
"B27","Mononucleose infecciosa"
"B30","Conjuntivite viral"
"B33","Outras doenças por vírus não classificada em outra parte"
"B34","Doenças por vírus, de localização não especificada"
"B35","Dermatofitose"
"B36","Outras micoses superficiais"
"B37","Candidíase"
"B38","Coccidioidomicose"
"B39","Histoplasmose"
"B40","Blastomicose"
"B41","Paracoccidioidomicose"
"B42","Esporotricose"
"B43","Cromomicose e abscesso feomicótico"
"B44","Aspergilose"
"B45","Criptococose"
"B46","Zigomicose"
"B47","Micetoma"
"B48","Outras micoses, não classificadas em outra parte"
"B49","Micose não especificada"
"B50","Malária por Plasmodium falciparum"
"B51","Malária por Plasmodium vivax"
"B52","Malária por Plasmodium malariae"
"B54","Malária não especificada"
"B55","Leishmaniose"
"B56","Tripanossomíase africana"
"B57","Doença de Chagas"
"B58","Toxoplasmose"
"B59","Pneumocistose"
"B65","Esquistossomose [bilharziose] [Schistosomíase]"
"B66","Outras infestações por trematódeos"
"B67","Equinococose"
"B69","Cisticercose"
"B71","Outras infestações por cestóides"
"B72","Dracontíase"
"B74","Filariose"
"B76","Ancilostomíase"
"B77","Ascaridíase"
"B80","Oxiuríase"
"B81","Outras helmintíases intestinais, não classificadas em outra parte"
"B83","Outras helmintíases"
"B86","Escabiose [sarna]"
"B87","Miíase"
"B88","Outras infestações"
"B90","Seqüelas de tuberculose"
"B91","Seqüelas de poliomielite"
"B92","Seqüelas de hanseníase [lepra]"
"B94","Seqüelas de outras doenças infecciosas e parasitárias e das não especificadas"
"B95","Estreptococos e estafilococos como causa de doenças classificadas em outros capítulos"
"B96","Outros agentes bacterianos, como causa de doenças classificadas em outros capítulos"
"B97","Vírus como causa de doenças classificadas em outros capítulos"
"B99","Doenças infecciosas, outras e as não especificadas"
