code,description
"C00","Neoplasia maligna do lábio"
"C01","Neoplasia maligna da base da língua"
"C02","Neoplasia maligna de outras partes e de partes não especificadas da língua"
"C03","Neoplasia maligna da gengiva"
"C04","Neoplasia maligna do assoalho da boca"
"C05","Neoplasia maligna do pálato"
"C06","Neoplasia maligna de outras partes e de partes não especificadas da boca"
"C07","Neoplasia maligna da glândula parótida"
"C08","Neoplasia maligna de outras glândulas salivares maiores e as não especificadas"
"C09","Neoplasia maligna da amígdala"
"C10","Neoplasia maligna da orofaringe"
"C11","Neoplasia maligna da nasofaringe"
"C12","Neoplasia maligna do seio piriforme"
"C13","Neoplasia maligna da hipofaringe"
"C14","Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade oral e faringe"
"C15","Neoplasia maligna do esôfago"
"C16","Neoplasia maligna do estômago"
"C17","Neoplasia maligna do intestino delgado"
"C18","Neoplasia maligna do cólon"
"C19","Neoplasia maligna da junção retossigmóide"
"C20","Neoplasia maligna do reto"
"C21","Neoplasia maligna do ânus e do canal anal"
"C22","Neoplasia maligna do fígado e das vias biliares intra-hepáticas"
"C23","Neoplasia maligna da vesícula biliar"
"C24","Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares"
"C25","Neoplasia maligna do pâncreas"
"C26","Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho digestivo"
"C30","Neoplasia maligna da cavidade nasal e do ouvido médio"
"C31","Neoplasia maligna dos seios da face"
"C32","Neoplasia maligna da laringe"
"C33","Neoplasia maligna da traquéia"
"C34","Neoplasia maligna dos brônquios e dos pulmões"
"C37","Neoplasia maligna do timo"
"C38","Neoplasia maligna do coração, mediastino e pleura"
"C39","Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respiratório e dos órgãos intratorácicos"
"C40","Neoplasia maligna dos ossos e cartilagens articulares dos membros"
"C41","Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localizações não especificadas"
"C43","Melanoma maligno da pele"
"C44","Outras neoplasias malignas da pele"
"C45","Mesotelioma"
"C46","Sarcoma de Kaposi"
"C47","Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo"
"C48","Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio"
"C49","Neoplasia maligna do tecido conjuntivo e de outros tecidos moles"
"C50","Neoplasia maligna da mama"
"C51","Neoplasia maligna da vulva"
"C52","Neoplasia maligna da vagina"
"C53","Neoplasia maligna do colo do útero"
"C54","Neoplasia maligna do corpo do útero"
"C55","Neoplasia maligna do útero, porção não especificada"
"C56","Neoplasia maligna do ovário"
"C57","Neoplasia maligna de outros órgãos genitais femininos e dos não especificados"
"C58","Neoplasia maligna da placenta"
"C60","Neoplasia maligna do pênis"
"C61","Neoplasia maligna da próstata"
"C62","Neoplasia maligna dos testículos"
"C63","Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados"
"C64","Neoplasia maligna do rim, exceto pelve renal"
"C65","Neoplasia maligna da pelve renal"
"C66","Neoplasia maligna dos ureteres"
"C67","Neoplasia maligna da bexiga"
"C68","Neoplasia maligna de outros órgãos urinários e dos não especificados"
"C69","Neoplasia maligna do olho e anexos"
"C70","Neoplasia maligna das meninges"
"C71","Neoplasia maligna do encéfalo"
"C72","Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
"C73","Neoplasia maligna da glândula tireóide"
"C74","Neoplasia maligna da glândula supra-renal"
"C75","Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas"
"C76","Neoplasia maligna de outras localizações e de localizações mal definidas"
"C77","Neoplasia maligna secundária e não especificada dos gânglios linfáticos"
"C78","Neoplasia maligna secundária dos órgãos respiratórios e digestivos"
"C79","Neoplasia maligna secundária de outras localizações"
"C80","Neoplasia maligna, sem especificação de localização"
"C81","Doença de Hodgkin"
"C82","Linfoma não-Hodgkin, folicular (nodular)"
"C83","Linfoma não-Hodgkin difuso"
"C84","Linfomas de células T cutâneas e periféricas"
"C85","Linfoma não-Hodgkin de outros tipos e de tipo não especificado"
"C88","Doenças imunoproliferativas malignas"
"C90","Mieloma múltiplo e neoplasias malignas de plasmócitos"
"C91","Leucemia linfóide"
"C92","Leucemia mielóide"
"C93","Leucemia monocítica"
"C94","Outras leucemias de células de tipo especificado"
"C95","Leucemia de tipo celular não especificado"
"C96","Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e tecidos correlatos"
"C97","Neoplasias malignas de localizações múltiplas independentes (primárias)"
