code,description
"D00","Carcinoma in situ da cavidade oral, do esôfago e do estômago"
"D01","Carcinoma in situ de outros órgãos digestivos"
"D02","Carcinoma in situ do ouvido médio e do aparelho respiratório"
"D03","Melanoma in situ"
"D04","Carcinoma in situ da pele"
"D05","Carcinoma in situ da mama"
"D06","Carcinoma in situ do colo do útero (cérvix)"
"D07","Carcinoma in situ de outros órgãos genitais e dos não especificados"
"D09","Carcinoma in situ de outras localizações e das não especificadas"
"D10","Neoplasia benigna da boca e da faringe"
"D11","Neoplasia benigna de glândulas salivares maiores"
"D12","Neoplasia benigna do cólon, reto, canal anal e ânus"
"D13","Neoplasia benigna de outras partes e de partes mal definidas do aparelho digestivo"
"D14","Neoplasia benigna do ouvido médio e do aparelho respiratório"
"D15","Neoplasia benigna de outros órgãos intratorácicos e dos não especificados"
"D16","Neoplasia benigna de osso e de cartilagem articular"
"D17","Neoplasia lipomatosa benigna"
"D18","Hemangioma e linfangioma de qualquer localização"
"D19","Neoplasia benigna de tecido mesotelial"
"D20","Neoplasia benigna de tecido mole do retroperitônio e do peritônio"
"D21","Outras neoplasias benignas do tecido conjuntivo e de outros tecidos moles"
"D22","Nevos melanocíticos"
"D23","Outras neoplasias benignas da pele"
"D24","Neoplasia benigna da mama"
"D25","Leiomioma do útero"
"D26","Outras neoplasias benignas do útero"
"D27","Neoplasia benigna do ovário"
"D28","Neoplasia benigna de outros órgãos genitais femininos e de órgãos não especificados"
"D29","Neoplasia benigna dos órgãos genitais masculinos"
"D30","Neoplasia benigna dos órgãos urinários"
"D31","Neoplasia benigna do olho e anexos"
"D32","Neoplasia benigna das meninges"
"D33","Neoplasia benigna do encéfalo e de outras partes do sistema nervoso central"
"D34","Neoplasia benigna da glândula tireóide"
"D35","Neoplasia benigna de outras glândulas endócrinas e das não especificadas"
"D36","Neoplasia benigna de outras localizações e de localizações não especificadas"
"D37","Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos"
"D38","Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios e intratorácicos"
"D39","Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos"
"D40","Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos"
"D41","Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários"
"D42","Neoplasia de comportamento incerto ou desconhecido das meninges"
"D43","Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central"
"D44","Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas"
"D45","Policitemia vera"
"D46","Síndromes mielodisplásicas"
"D47","Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos"
"D48","Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações não especificadas"
"D50","Anemia por deficiência de ferro"
"D51","Anemia por deficiência de vitamina B12"
"D52","Anemia por deficiência de folato"
"D53","Outras anemias nutricionais"
"D55","Anemia devida a transtornos enzimáticos"
"D56","Talassemia"
"D57","Transtornos falciformes"
"D58","Outras anemias hemolíticas hereditárias"
"D59","Anemia hemolítica adquirida"
"D60","Aplasia pura da série vermelha, adquirida [eritroblastopenia]"
"D61","Outras anemias aplásticas"
"D62","Anemia aguda pós-hemorrágica"
"D63","Anemia em doenças crônicas classificadas em outra parte"
"D64","Outras anemias"
"D65","Coagulação intravascular disseminada [síndrome de desfibrinação]"
"D66","Deficiência hereditária do fator VIII"
"D67","Deficiência hereditária do fator IX"
"D68","Outros defeitos da coagulação"
"D69","Púrpura e outras afecções hemorrágicas"
"D70","Agranulocitose"
"D71","Transtornos funcionais dos neutrófilos polimorfonucleares"
"D72","Outros transtornos dos glóbulos brancos"
"D73","Doenças do baço"
"D75","Outras doenças do sangue e dos órgãos hematopoéticos"
"D76","Algumas doenças que envolvem o tecido linforreticular e o sistema reticulohistiocítico"
"D77","Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte"
"D80","Imunodeficiência com predominância de defeitos de anticorpos"
"D81","Deficiências imunitárias combinadas"
"D82","Imunodeficiência associada com outros defeitos ""major"""
"D83","Imunodeficiência comum variável"
"D84","Outras imunodeficiências"
"D86","Sarcoidose"
"D89","Outros transtornos que comprometem o mecanismo imunitário não classificados em outra parte"
