code,description
"E00","Síndrome de deficiência congênita de iodo"
"E01","Transtornos tireoidianos e afecções associadas, relacionados à deficiência de iodo"
"E02","Hipotireoidismo subclínico por deficiência de iodo"
"E03","Outros hipotireoidismos"
"E04","Outros bócios não-tóxicos"
"E05","Tireotoxicose [hipertireoidismo]"
"E06","Tireoidite"
"E07","Outros transtornos da tireóide"
"E10","Diabetes mellitus insulino-dependente"
"E11","Diabetes mellitus não-insulino-dependente"
"E12","Diabetes mellitus relacionado com a desnutrição"
"E13","Outros tipos especificados de diabetes mellitus"
"E14","Diabetes mellitus não especificado"
"E15","Coma hipoglicêmico não-diabético"
"E16","Outros transtornos da secreção pancreática interna"
"E20","Hipoparatireoidismo"
"E21","Hiperparatireoidismo e outros transtornos da glândula paratireóide"
"E22","Hiperfunção da hipófise"
"E23","Hipofunção e outros transtornos da hipófise"
"E24","Síndrome de Cushing"
"E25","Transtornos adrenogenitais"
"E26","Hiperaldosteronismo"
"E27","Outros transtornos da glândula supra-renal"
"E28","Disfunção ovariana"
"E29","Disfunção testicular"
"E30","Transtornos da puberdade não classificados em outra parte"
"E31","Disfunção poliglandular"
"E32","Doenças do timo"
"E34","Outros transtornos endócrinos"
"E35","Transtornos das glândulas endócrinas em doenças classificadas em outra parte"
"E40","Kwashiorkor"
"E41","Marasmo nutricional"
"E42","Kwashiorkor marasmático"
"E43","Desnutrição protéico-calórica grave não especificada"
"E44","Desnutrição protéico-calórica de graus moderado e leve"
"E45","Atraso do desenvolvimento devido à desnutrição protéico-calórica"
"E46","Desnutrição protéico-calórica não especificada"
"E50","Deficiência de vitamina A"
"E51","Deficiência de tiamina"
"E52","Deficiência de niacina [pelagra]"
"E53","Deficiência de outras vitaminas do grupo B"
"E54","Deficiência de ácido ascórbico"
"E55","Deficiência de vitamina D"
"E56","Outras deficiências vitamínicas"
"E60","Deficiência de zinco da dieta"
"E61","Deficiência de outros elementos nutrientes"
"E63","Outras deficiências nutricionais"
"E64","Seqüelas de desnutrição e de outras deficiências nutricionais"
"E65","Adiposidade localizada"
"E66","Obesidade"
"E67","Outras formas de hiperalimentação"
"E68","Seqüelas de hiperalimentação"
"E70","Distúrbios do metabolismo de aminoácidos aromáticos"
"E71","Distúrbios do metabolismo de aminoácidos de cadeia ramificada e do metabolismo dos ácidos graxos"
"E72","Outros distúrbios do metabolismo de aminoácidos"
"E73","Intolerância à lactose"
"E74","Outros distúrbios do metabolismo de carboidratos"
"E75","Distúrbios do metabolismo de esfingolípides e outros distúrbios de depósito de lípides"
"E76","Distúrbios do metabolismo do glicosaminoglicano"
"E77","Distúrbios do metabolismo de glicoproteínas"
"E78","Distúrbios do metabolismo de lipoproteínas e outras lipidemias"
"E79","Distúrbios do metabolismo de purina e pirimidina"
"E80","Distúrbios do metabolismo da porfirina e da bilirrubina"
"E83","Distúrbios do metabolismo de minerais"
"E84","Fibrose cística"
"E85","Amiloidose"
"E86","Depleção de volume"
"E87","Outros transtornos do equilíbrio hidroeletrolítico e ácido-básico"
"E88","Outros distúrbios metabólicos"
"E89","Transtornos endócrinos e metabólicos pós-procedimentos, não classificados em outra parte"
"E90","Transtornos nutricionais e metabólicos em doenças classificadas em outra parte"
