code,description
"F00","Demência na doença de Alzheimer (G30.-+)"
"F01","Demência vascular"
"F02","Demência em outras doenças classificadas em outra parte"
"F03","Demência não especificada"
"F04","Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas"
"F05","Delírium não induzido pelo álcool ou por outras substâncias psicoativas"
"F06","Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física"
"F07","Transtornos de personalidade e do comportamento devidos a doença, a lesão e a disfunção cerebral"
"F09","Transtorno mental orgânico ou sintomático não especificado"
"F10","Transtornos mentais e comportamentais devidos ao uso de álcool"
"F11","Transtornos mentais e comportamentais devidos ao uso de opiáceos"
"F12","Transtornos mentais e comportamentais devidos ao uso de canabinóides"
"F13","Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos"
"F14","Transtornos mentais e comportamentais devidos ao uso da cocaína"
"F15","Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína"
"F16","Transtornos mentais e comportamentais devidos ao uso de alucinógenos"
"F17","Transtornos mentais e comportamentais devidos ao uso de fumo"
"F18","Transtornos mentais e comportamentais devidos ao uso de solventes voláteis"
"F19","Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas"
"F20","Esquizofrenia"
"F21","Transtorno esquizotípico"
"F22","Transtornos delirantes persistentes"
"F23","Transtornos psicóticos agudos e transitórios"
"F24","Transtorno delirante induzido"
"F25","Transtornos esquizoafetivos"
"F28","Outros transtornos psicóticos não-orgânicos"
"F29","Psicose não-orgânica não especificada"
"F30","Episódio maníaco"
"F31","Transtorno afetivo bipolar"
"F32","Episódios depressivos"
"F33","Transtorno depressivo recorrente"
"F34","Transtornos de humor [afetivos] persistentes"
"F38","Outros transtornos do humor [afetivos]"
"F39","Transtorno do humor [afetivo] não especificado"
"F40","Transtornos fóbico-ansiosos"
"F41","Outros transtornos ansiosos"
"F42","Transtorno obsessivo-compulsivo"
"F43","Reações ao ""stress"" grave e transtornos de adaptação"
"F44","Transtornos dissociativos [de conversão]"
"F45","Transtornos somatoformes"
"F48","Outros transtornos neuróticos"
"F50","Transtornos da alimentação"
"F51","Transtornos não-orgânicos do sono devidos a fatores emocionais"
"F52","Disfunção sexual, não causada por transtorno ou doença orgânica"
"F53","Transtornos mentais e comportamentais associados ao puerpério, não classificados em outra parte"
"F54","Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte"
"F55","Abuso de substâncias que não produzem dependência"
"F59","Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos, não especificadas"
"F60","Transtornos específicos da personalidade"
"F61","Transtornos mistos da personalidade e outros transtornos da personalidade"
"F62","Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral"
"F63","Transtornos dos hábitos e dos impulsos"
"F64","Transtornos da identidade sexual"
"F65","Transtornos da preferência sexual"
"F66","Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação"
"F68","Outros transtornos da personalidade e do comportamento do adulto"
"F69","Transtorno da personalidade e do comportamento do adulto, não especificado"
"F70","Retardo mental leve"
"F71","Retardo mental moderado"
"F72","Retardo mental grave"
"F73","Retardo mental profundo"
"F78","Outro retardo mental"
"F79","Retardo mental não especificado"
"F80","Transtornos específicos do desenvolvimento da fala e da linguagem"
"F81","Transtornos específicos do desenvolvimento das habilidades escolares"
"F82","Transtorno específico do desenvolvimento motor"
"F83","Transtornos específicos misto do desenvolvimento"
"F84","Transtornos globais do desenvolvimento"
"F88","Outros transtornos do desenvolvimento psicológico"
"F89","Transtorno do desenvolvimento psicológico não especificado"
"F90","Transtornos hipercinéticos"
"F91","Distúrbios de conduta"
"F92","Transtornos mistos de conduta e das emoções"
"F93","Transtornos emocionais com início especificamente na infância"
"F94","Transtornos do funcionamento social com início especificamente durante a infância ou a adolescência"
"F95","Tiques"
"F98","Outros transtornos comportamentais e emocionais com início habitualmente durante a infância ou a adolescência"
"F99","Transtorno mental não especificado em outra parte"
