code,description
"H00","Hordéolo e calázio"
"H01","Outras inflamações da pálpebra"
"H02","Outros transtornos da pálpebra"
"H03","Transtornos da pálpebra em doenças classificadas em outras partes"
"H04","Transtornos do aparelho lacrimal"
"H05","Transtornos da órbita"
"H06","Transtornos do aparelho lacrimal e da órbita em doenças classificadas em outra parte"
"H10","Conjuntivite"
"H11","Outros transtornos da conjuntiva"
"H13","Transtornos da conjuntiva em doenças classificadas em outra parte"
"H15","Transtornos da esclerótica"
"H16","Ceratite"
"H17","Cicatrizes e opacidades da córnea"
"H18","Outros transtornos da córnea"
"H19","Transtorno da esclerótica e da córnea em doenças classificadas em outra parte"
"H20","Iridociclite"
"H21","Outros transtornos da íris e do corpo ciliar"
"H22","Transtornos da íris e do corpo ciliar em doenças classificadas em outra parte"
"H25","Catarata senil"
"H26","Outras cataratas"
"H27","Outros transtornos do cristalino"
"H28","Catarata e outros transtornos do cristalino em doenças classificadas em outra parte"
"H30","Inflamação coriorretiniana"
"H31","Outros transtornos da coróide"
"H32","Transtornos coriorretinianos em doenças classificadas em outra parte"
"H33","Descolamentos e defeitos da retina"
"H34","Oclusões vasculares da retina"
"H35","Outros transtornos da retina"
"H36","Transtornos da retina em doenças classificadas em outra parte"
"H40","Glaucoma"
"H42","Glaucoma em doenças classificadas em outra parte"
"H43","Transtornos do humor vítreo"
"H44","Transtornos do globo ocular"
"H45","Transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte"
"H46","Neurite óptica"
"H47","Outros transtornos do nervo óptico e das vias ópticas"
"H48","Transtornos do nervo óptico [segundo par] e das vias ópticas em doenças classificadas em outra parte"
"H49","Estrabismo paralítico"
"H50","Outros estrabismos"
"H51","Outros transtornos do movimento binocular"
"H52","Transtornos da refração e da acomodação"
"H53","Distúrbios visuais"
"H54","Cegueira e visão subnormal"
"H55","Nistagmo e outros movimentos irregulares do olho"
"H57","Outros transtornos do olho e anexos"
"H58","Outros transtornos do olho e anexos em doenças classificadas em outra parte"
"H59","Transtornos do olho e anexos pós-procedimento não classificados em outra parte"
"H60","Otite externa"
"H61","Outros transtornos do ouvido externo"
"H62","Transtornos do ouvido externo em doenças classificadas em outra parte"
"H65","Otite média não-supurativa"
"H66","Otite média supurativa e as não especificadas"
"H67","Otite média em doenças classificadas em outra parte"
"H68","Salpingite e obstrução da trompa de Eustáquio"
"H69","Outros transtornos da trompa de Eustáquio"
"H70","Mastoidite e afecções correlatas"
"H71","Colesteatoma do ouvido médio"
"H72","Perfuração da membrana do tímpano"
"H73","Outros transtornos da membrana do tímpano"
"H74","Outros transtornos do ouvido médio e da mastóide"
"H75","Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte"
"H80","Otosclerose"
"H81","Transtornos da função vestibular"
"H82","Síndromes vertiginosas em doenças classificadas em outra parte"
"H83","Outros transtornos do ouvido interno"
"H90","Perda de audição por transtorno de condução e/ou neuro-sensorial"
"H91","Outras perdas de audição"
"H92","Otalgia e secreção auditiva"
"H93","Outros transtornos do ouvido não classificados em outra parte"
"H94","Outros transtornos do ouvido em doenças classificadas em outra parte"
"H95","Transtornos do ouvido e da apófise mastóide pós-procedimentos, não classificados em outra parte"
