code,description
"I00","Febre reumática sem menção de comprometimento do coração"
"I01","Febre reumática com comprometimento do coração"
"I02","Coréia reumática"
"I05","Doenças reumáticas da valva mitral"
"I06","Doenças reumáticas da valva aórtica"
"I07","Doenças reumáticas da valva tricúspide"
"I08","Doenças de múltiplas valvas"
"I09","Outras doenças reumáticas do coração"
"I10","Hipertensão essencial (primária)"
"I11","Doença cardíaca hipertensiva"
"I12","Doença renal hipertensiva"
"I13","Doença cardíaca e renal hipertensiva"
"I15","Hipertensão secundária"
"I20","Angina pectoris"
"I21","Infarto agudo do miocárdio"
"I22","Infarto do miocárdio recorrente"
"I23","Algumas complicações atuais subseqüentes ao infarto agudo do miocárdio"
"I24","Outras doenças isquêmicas agudas do coração"
"I25","Doença isquêmica crônica do coração"
"I26","Embolia pulmonar"
"I27","Outras formas de doença cardíaca pulmonar"
"I28","Outras doenças dos vasos pulmonares"
"I30","Pericardite aguda"
"I31","Outras doenças do pericárdio"
"I32","Pericardite em doenças classificadas em outra parte"
"I33","Endocardite aguda e subaguda"
"I34","Transtornos não-reumáticos da valva mitral"
"I35","Transtornos não-reumáticos da valva aórtica"
"I36","Transtornos não-reumáticos da valva tricúspide"
"I37","Transtornos da valva pulmonar"
"I38","Endocardite de valva não especificada"
"I39","Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte"
"I40","Miocardite aguda"
"I41","Miocardite em doenças classificadas em outra parte"
"I42","Cardiomiopatias"
"I43","Cardiomiopatia em doenças classificadas em outra parte"
"I44","Bloqueio atrioventricular e do ramo esquerdo"
"I45","Outros transtornos de condução"
"I46","Parada cardíaca"
"I47","Taquicardia paroxística"
"I48","""Flutter"" e fibrilação atrial"
"I49","Outras arritmias cardíacas"
"I50","Insuficiência cardíaca"
"I51","Complicações de cardiopatias e doenças cardíacas mal definidas"
"I52","Outras afecções cardíacas em doenças classificadas em outra parte"
"I60","Hemorragia subaracnóide"
"I61","Hemorragia intracerebral"
"I62","Outras hemorragias intracranianas não-traumáticas"
"I63","Infarto cerebral"
"I64","Acidente vascular cerebral, não especificado como hemorrágico ou isquêmico"
"I65","Oclusão e estenose de artérias pré-cerebrais que não resultam em infarto cerebral"
"I66","Oclusão e estenose de artérias cerebrais que não resultam em infarto cerebral"
"I67","Outras doenças cerebrovasculares"
"I68","Transtornos cerebrovasculares em doenças classificadas em outra parte"
"I69","Seqüelas de doenças cerebrovasculares"
"I70","Aterosclerose"
"I71","Aneurisma e dissecção da aorta"
"I72","Outros aneurismas"
"I73","Outras doenças vasculares periféricas"
"I74","Embolia e trombose arteriais"
"I77","Outras afecções das artérias e arteríolas"
"I78","Doenças dos capilares"
"I79","Transtornos das artérias, das arteríolas e dos capilares em doenças classificadas em outra parte"
"I80","Flebite e tromboflebite"
"I81","Trombose da veia porta"
"I82","Outra embolia e trombose venosas"
"I83","Varizes dos membros inferiores"
"I84","Hemorróidas"
"I85","Varizes esofagianas"
"I86","Varizes de outras localizações"
"I87","Outras transtornos das veias"
"I88","Linfadenite inespecífica"
"I89","Outros transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos"
"I95","Hipotensão"
"I97","Transtornos do aparelho circulatório, subseqüentes a procedimentos não classificados em outra parte"
"I98","Outros transtornos do aparelho circulatório em doenças classificadas em outra parte"
"I99","Outros transtornos do aparelho circulatório e os não especificados"
