code,description
"J00","Nasofaringite aguda [resfriado comum]"
"J01","Sinusite aguda"
"J02","Faringite aguda"
"J03","Amigdalite aguda"
"J04","Laringite e traqueíte agudas"
"J05","Laringite obstrutiva aguda [crupe] e epiglotite"
"J06","Infecções agudas das vias aéreas superiores de localizações múltiplas e não especificadas"
"J09","Influenza [gripe] devida a vírus identificado da gripe aviária"
"J10","Influenza devida a vírus da influenza [gripe] identificado"
"J11","Influenza [gripe] devida a vírus não identificado"
"J12","Pneumonia viral não classificada em outra parte"
"J13","Pneumonia devida a Streptococcus pneumoniae"
"J14","Pneumonia devida a Haemophilus infuenzae"
"J15","Pneumonia bacteriana não classificada em outra parte"
"J16","Pneumonia devida a outros microorganismos infecciosos especificados não classificados em outra parte"
"J17","Pneumonia em doenças classificadas em outra parte"
"J18","Pneumonia por microorganismo não especificada"
"J20","Bronquite aguda"
"J21","Bronquiolite aguda"
"J22","Infecções agudas não especificada das vias aéreas inferiores"
"J30","Rinite alérgica e vasomotora"
"J31","Rinite, nasofaringite e faringite crônicas"
"J32","Sinusite crônica"
"J33","Pólipo nasal"
"J34","Outros transtornos do nariz e dos seios paranasais"
"J35","Doenças crônicas das amígdalas e das adenóides"
"J36","Abscesso periamigdaliano"
"J37","Laringite e laringotraqueíte crônicas"
"J38","Doenças das cordas vocais e da laringe não classificadas em outra parte"
"J39","Outras doenças das vias aéreas superiores"
"J40","Bronquite não especificada como aguda ou crônica"
"J41","Bronquite crônica simples e a mucopurulenta"
"J42","Bronquite crônica não especificada"
"J43","Enfisema"
"J44","Outras doenças pulmonares obstrutivas crônicas"
"J45","Asma"
"J46","Estado de mal asmático"
"J47","Bronquectasia"
"J60","Pneumoconiose dos mineiros de carvão"
"J61","Pneumoconiose devida a amianto [asbesto] e outras fibras minerais"
"J62","Pneumoconiose devida a poeira que contenham sílica"
"J63","Pneumoconiose devida a outras poeiras inorgânicas"
"J64","Pneumoconiose não especificada"
"J65","Pneumoconiose associada com tuberculose"
"J66","Doenças das vias aéreas devida a poeiras orgânicas específicas"
"J67","Pneumonite de hipersensibilidade devida a poeiras orgânicas"
"J68","Afecções respiratórias devidas a inalação de produtos químicos, gases, fumaças e vapores"
"J69","Pneumonite devida a sólidos e líquidos"
"J70","Afecções respiratórias devida a outros agentes externos"
"J80","Síndrome do desconforto respiratório do adulto"
"J81","Edema pulmonar, não especificado de outra forma"
"J82","Eosinofilia pulmonar, não classificada em outra parte"
"J84","Outras doenças pulmonares intersticiais"
"J85","Abscesso do pulmão e do mediastino"
"J86","Piotórax"
"J90","Derrame pleural não classificado em outra parte"
"J91","Derrame pleural em afecções classificadas em outra parte"
"J92","Placas pleurais"
"J93","Pneumotórax"
"J94","Outras afecções pleurais"
"J95","Afecções respiratórias pós-procedimentos não classificadas em outra parte"
"J96","Insuficiência respiratória não classificada de outra parte"
"J98","Outros transtornos respiratórios"
"J99","Transtornos respiratórios em doenças classificadas em outra parte"
