code,description
"K00","Distúrbios do desenvolvimento e da erupção dos dentes"
"K01","Dentes inclusos e impactados"
"K02","Cárie dentária"
"K03","Outras doenças dos tecidos dentários duros"
"K04","Doenças da polpa e dos tecidos periapicais"
"K05","Gengivite e doenças periodontais"
"K06","Outros transtornos da gengiva e do rebordo alveolar sem dentes"
"K07","Anomalias dentofaciais (inclusive a maloclusão)"
"K08","Outros transtornos dos dentes e de suas estruturas de sustentação"
"K09","Cistos da região bucal não classificados em outra parte"
"K10","Outras doenças dos maxilares"
"K11","Doenças das glândulas salivares"
"K12","Estomatite e lesões correlatas"
"K13","Outras doenças do lábio e da mucosa oral"
"K14","Doenças da língua"
"K20","Esofagite"
"K21","Doença de refluxo gastroesofágico"
"K22","Outras doenças do esôfago"
"K23","Transtornos do esôfago em doenças classificadas em outra parte"
"K25","Úlcera gástrica"
"K26","Úlcera duodenal"
"K27","Úlcera péptica de localização não especificada"
"K28","Úlcera gastrojejunal"
"K29","Gastrite e duodenite"
"K30","Dispepsia"
"K31","Outras doenças do estômago e do duodeno"
"K35","Apendicite aguda"
"K36","Outras formas de apendicite"
"K37","Apendicite, sem outras especificações"
"K38","Outras doenças do apêndice"
"K40","Hérnia inguinal"
"K41","Hérnia femoral"
"K42","Hérnia umbilical"
"K43","Hérnia ventral"
"K44","Hérnia diafragmática"
"K45","Outras hérnias abdominais"
"K46","Hérnia abdominal não especificada"
"K50","Doença de Crohn [enterite regional]"
"K51","Colite ulcerativa"
"K52","Outras gastroenterites e colites não-infecciosas"
"K55","Transtornos vasculares do intestino"
"K56","Íleo paralítico e obstrução intestinal sem hérnia"
"K57","Doença diverticular do intestino"
"K58","Síndrome do cólon irritável"
"K59","Outros transtornos funcionais do intestino"
"K60","Fissura e fístula das regiões anal e retal"
"K61","Abscesso das regiões anal e retal"
"K62","Outras doenças do reto e do ânus"
"K63","Outras doenças do intestino"
"K65","Peritonite"
"K66","Outros transtornos do peritônio"
"K67","Comprometimento do peritônio, em doenças infecciosas classificadas em outra parte"
"K70","Doença alcoólica do fígado"
"K71","Doença hepática tóxica"
"K72","Insuficiência hepática não classificada em outra parte"
"K73","Hepatite crônica não classificada em outra parte"
"K74","Fibrose e cirrose hepáticas"
"K75","Outras doenças inflamatórias do fígado"
"K76","Outras doenças do fígado"
"K77","Transtornos do fígado em doenças classificadas em outra parte"
"K80","Colelitíase"
"K81","Colecistite"
"K82","Outras doenças da vesícula biliar"
"K83","Outras doenças das vias biliares"
"K85","Pancreatite aguda"
"K86","Outras doenças do pâncreas"
"K87","Transtornos da vesícula biliar, das vias biliares e do pâncreas em doenças classificadas em outra parte"
"K90","Má-absorção intestinal"
"K91","Transtornos do aparelho digestivo pós-procedimentos, não classificados em outra parte"
"K92","Outras doenças do aparelho digestivo"
"K93","Transtornos de outros órgãos digestivos em doenças classificadas em outra parte"
