code,description
"L01","Impetigo"
"L02","Abscesso cutâneo, furúnculo e antraz"
"L03","Celulite (Flegmão)"
"L04","Linfadenite aguda"
"L05","Cisto pilonidal"
"L08","Outras infecções localizadas da pele e do tecido subcutâneo"
"L10","Pênfigo"
"L11","Outras afecções acantolíticas"
"L12","Penfigóide"
"L13","Outras afecções bolhosas"
"L14","Afecções bolhosas em doenças classificadas em outra parte"
"L20","Dermatite atópica"
"L21","Dermatite seborréica"
"L22","Dermatite das fraldas"
"L23","Dermatites alérgicas de contato"
"L24","Dermatites de contato por irritantes"
"L25","Dermatite de contato não especificada"
"L26","Dermatite esfoliativa"
"L27","Dermatite devida a substâncias de uso interno"
"L28","Líquen simples crônico e prurigo"
"L29","Prurido"
"L30","Outras dermatites"
"L40","Psoríase"
"L41","Parapsoríase"
"L42","Pitiríase rósea"
"L43","Líquen plano"
"L44","Outras afecções pápulo-descamativas"
"L45","Afecções pápulo-descamativas em doenças classificadas em outra parte"
"L50","Urticária"
"L51","Eritema polimorfo (eritema multiforme)"
"L52","Eritema nodoso"
"L53","Outras afecções eritematosas"
"L54","Eritema em doenças classificadas em outra parte"
"L55","Queimadura solar"
"L56","Outras alterações agudas da pele devidas a radiação ultravioleta"
"L57","Alterações da pele devidas à exposição crônica à radiação não ionizante"
"L58","Radiodermatite"
"L59","Outras afecções da pele e do tecido subcutâneo relacionadas com a radiação"
"L60","Afecções das unhas"
"L62","Afecções das unhas em doenças classificadas em outra parte"
"L63","Alopécia areata"
"L64","Alopécia androgênica"
"L65","Outras formas não cicatriciais da perda de cabelos ou pêlos"
"L66","Alopécia cicatricial [perda de cabelos ou pêlos, cicatricial]"
"L68","Hipertricose"
"L70","Acne"
"L71","Rosácea"
"L72","Cistos foliculares da pele e do tecido subcutâneo"
"L73","Outras afecções foliculares"
"L74","Afecções das glândulas sudoríparas écrinas"
"L80","Vitiligo"
"L81","Outros transtornos da pigmentação"
"L82","Ceratose seborréica"
"L83","Acantose nigricans"
"L84","Calos e calosidades"
"L85","Outras formas de espessamento epidérmico"
"L86","Ceratodermia em doenças classificadas em outra parte"
"L87","Transtornos da eliminação transepidérmica"
"L88","Piodermite gangrenosa"
"L89","Úlcera de decúbito"
"L90","Afecções atróficas da pele"
"L91","Afecções hipertróficas da pele"
"L92","Afecções granulomatosas da pele e do tecido subcutâneo"
"L93","Lúpus eritematoso"
"L94","Outras afecções localizadas do tecido conjuntivo"
"L95","Vasculite limitada a pele não classificadas em outra parte"
"L97","Úlcera dos membros inferiores não classificada em outra parte"
"L98","Outras afecções da pele e do tecido subcutâneo não classificadas em outra parte"
"L99","Outras afecções da pele e do tecido subcutâneo em doenças classificadas em outra parte"
