code,description
"M00","Artrite piogênica"
"M01","Infecções diretas da articulação em doenças infecciosas e parasitárias classificadas em outra parte"
"M02","Artropatias reacionais"
"M03","Artropatias pós-infecciosas e reacionais em doenças infecciosas classificadas em outra parte"
"M05","Artrite reumatóide soro-positiva"
"M06","Outras artrites reumatóides"
"M07","Artropatias psoriásicas e enteropáticas"
"M08","Artrite juvenil"
"M09","Artrite juvenil em doenças classificadas em outra parte"
"M10","Gota"
"M11","Outras artropatias por deposição de cristais"
"M12","Outras artropatias especificadas"
"M13","Outras artrites"
"M14","Artropatias em outras doenças classificadas em outra parte"
"M15","Poliartrose"
"M16","Coxartrose [artrose do quadril]"
"M17","Gonartrose [artrose do joelho]"
"M18","Artrose da primeira articulação carpometacarpiana"
"M19","Outras artroses"
"M20","Deformidades adquiridas dos dedos das mãos e dos pés"
"M21","Outras deformidades adquiridas dos membros"
"M22","Transtornos da rótula [patela]"
"M23","Transtornos internos dos joelhos"
"M24","Outras transtornos articulares específicos"
"M25","Outros transtornos articulares não classificados em outra parte"
"M30","Poliarterite nodosa e afecções correlatas"
"M31","Outras vasculopatias necrotizantes"
"M32","Lúpus eritematoso disseminado [sistêmico]"
"M33","Dermatopoliomiosite"
"M34","Esclerose sistêmica"
"M35","Outras afecções sistêmicas do tecido conjuntivo"
"M36","Doenças sistêmicas do tecido conjuntivo em doenças classificadas em outra parte"
"M40","Cifose e lordose"
"M41","Escoliose"
"M42","Osteocondrose da coluna vertebral"
"M43","Outras dorsopatias deformantes"
"M45","Espondilite ancilosante"
"M46","Outras espondilopatias inflamatórias"
"M47","Espondilose"
"M48","Outras espondilopatias"
"M49","Espondilopatias em doenças classificadas em outra parte"
"M50","Transtornos dos discos cervicais"
"M51","Outros transtornos de discos intervertebrais"
"M53","Outras dorsopatias não classificadas em outra parte"
"M54","Dorsalgia"
"M60","Miosite"
"M61","Calcificação e ossificação do músculo"
"M62","Outros transtornos musculares"
"M63","Transtornos de músculo em doenças classificadas em outra parte"
"M65","Sinovite e tenossinovite"
"M66","Ruptura espontânea de sinóvia e de tendão"
"M67","Outros transtornos das sinóvias e dos tendões"
"M68","Transtorno de sinóvias e de tendões em doenças classificadas em outra parte"
"M70","Transtornos dos tecidos moles relacionados com o uso, uso excessivo e pressão"
"M71","Outras bursopatias"
"M72","Transtornos fibroblásticos"
"M73","Transtornos dos tecidos moles em doenças classificadas em outra parte"
"M75","Lesões do ombro"
"M76","Entesopatias dos membros inferiores, excluindo pé"
"M77","Outras entesopatias"
"M79","Outros transtornos dos tecidos moles, não classificados em outra parte"
"M80","Osteoporose com fratura patológica"
"M81","Osteoporose sem fratura patológica"
"M82","Osteoporose em doenças classificadas em outra parte"
"M83","Osteomalácia do adulto"
"M84","Transtornos da continuidade do osso"
"M85","Outros transtornos da densidade e da estrutura ósseas"
"M86","Osteomielite"
"M87","Osteonecrose"
"M88","Doença de Paget do osso (osteíte deformante)"
"M89","Outros transtornos ósseos"
"M90","Osteopatias em doenças classificadas em outra parte"
"M91","Osteocondrose juvenil do quadril e da pelve"
"M92","Outras osteocondroses juvenis"
"M93","Outras osteocondropatias"
"M94","Outros transtornos das cartilagens"
"M95","Outras deformidades adquiridas do sistema osteomuscular e do tecido conjuntivo"
"M96","Transtornos osteomusculares pós-procedimentos não classificados em outra parte"
"M99","Lesões biomecânicas não classificadas em outra parte"
