code,description
"N00","Síndrome nefrítica aguda"
"N01","Síndrome nefrítica rapidamente progressiva"
"N02","Hematúria recidivante e persistente"
"N03","Síndrome nefrítica crônica"
"N04","Síndrome nefrótica"
"N05","Síndrome nefrítica não especificada"
"N06","Proteinúria isolada com lesão morfológica especificada"
"N07","Nefropatia hereditária não classificada em outra parte"
"N08","Transtornos glomerulares em doenças classificadas em outra parte"
"N10","Nefrite túbulo-intersticial aguda"
"N11","Nefrite túbulo-intersticial crônica"
"N12","Nefrite túbulo-intersticial não especificada se aguda ou crônica"
"N13","Uropatia obstrutiva e por refluxo"
"N14","Afecções tubulares e túbulo-intersticiais induzidas por drogas ou metais pesados"
"N15","Outras doenças renais túbulo-intersticiais"
"N16","Transtornos renais túbulo-intersticiais em doenças classificadas em outra parte"
"N17","Insuficiência renal aguda"
"N18","Insuficiência renal crônica"
"N19","Insuficiência renal não especificada"
"N20","Calculose do rim e do ureter"
"N21","Calculose do trato urinário inferior"
"N22","Calculose do trato urinário inferior em doenças classificadas em outra parte"
"N23","Cólica nefrética não especificada"
"N25","Transtornos resultantes de função renal tubular alterada"
"N26","Rim contraído, não especificado"
"N27","Hipoplasia renal de causa desconhecida"
"N28","Outros transtornos do rim e do ureter não classificado em outra parte"
"N29","Outros transtornos do rim e do ureter em doenças classificadas em outra parte"
"N30","Cistite"
"N31","Disfunções neuromusculares da bexiga não classificados em outra parte"
"N32","Outros transtornos da bexiga"
"N33","Transtornos da bexiga em doenças classificadas em outra parte"
"N34","Uretrite e síndrome uretral"
"N35","Estenose da uretra"
"N36","Outros transtornos da uretra"
"N37","Transtornos da uretra em doenças classificadas em outra parte"
"N39","Outros transtornos do trato urinário"
"N40","Hiperplasia da próstata"
"N41","Doenças inflamatórias da próstata"
"N42","Outras afecções da próstata"
"N43","Hidrocele e espermatocele"
"N44","Torção do testículo"
"N45","Orquite e epididimite"
"N46","Infertilidade masculina"
"N47","Hipertrofia do prepúcio, fimose e parafimose"
"N48","Outros transtornos do pênis"
"N49","Transtornos inflamatórios de órgãos genitais masculinos, não classificados em outra parte"
"N50","Outros transtornos dos órgãos genitais masculinos"
"N51","Transtornos dos órgãos genitais masculinos em doenças classificadas em outra parte"
"N60","Displasias mamárias benignas"
"N61","Transtornos inflamatórios da mama"
"N62","Hipertrofia da mama"
"N63","Nódulo mamário não especificado"
"N64","Outras doenças da mama"
"N70","Salpingite e ooforite"
"N71","Doença inflamatória do útero, exceto o colo"
"N72","Doença inflamatória do colo do útero"
"N73","Outras doenças inflamatórias pélvicas femininas"
"N74","Transtornos inflamatórios da pelve feminina em doenças classificadas em outra parte"
"N75","Doenças da glândula de Bartholin"
"N76","Outras afecções inflamatórias da vagina e da vulva"
"N77","Ulceração e inflamação vulvovaginais em doenças classificadas em outra parte"
"N80","Endometriose"
"N81","Prolapso genital feminino"
"N82","Fístulas do trato genital feminino"
"N83","Transtornos não-inflamatórios do ovário, da trompa de Falópio e do ligamento largo"
"N84","Pólipo do trato genital feminino"
"N85","Outros transtornos não-inflamatórios do útero, exceto do colo do útero"
"N86","Erosão e ectrópio do colo do útero"
"N87","Displasia do colo do útero"
"N88","Outros transtornos não-inflamatórios do colo do útero"
"N89","Outros transtornos não-inflamatórios da vagina"
"N90","Outros transtornos não-inflamatórios da vulva e do períneo"
"N91","Menstruação ausente, escassa e pouco freqüente"
"N92","Menstruação excessiva, freqüente e irregular"
"N93","Outros sangramentos anormais do útero e da vagina"
"N94","Dor e outras afecções associadas com os órgãos genitais femininos e com o ciclo menstrual"
"N95","Transtornos da menopausa e da perimenopausa"
"N96","Abortamento habitual"
"N97","Infertilidade feminina"
"N98","Complicações associadas à fecundação artificial"
"N99","Transtornos do trato geniturinário pós-procedimentos não classificados em outra parte"
