code,description
"O00","Gravidez ectópica"
"O01","Mola hidatiforme"
"O02","Outros produtos anormais da concepção"
"O03","Aborto espontâneo"
"O04","Aborto por razões médicas e legais"
"O05","Outros tipos de aborto"
"O06","Aborto não especificado"
"O07","Falha de tentativa de aborto"
"O08","Complicações conseqüentes a aborto e gravidez ectópica ou molar"
"O10","Hipertensão pré-existente complicando a gravidez, o parto e o puerpério"
"O11","Distúrbio hipertensivo pré-existente com proteinúria superposta"
"O12","Edema e proteinúria gestacionais [induzidos pela gravidez], sem hipertensão"
"O13","Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa"
"O14","Hipertensão gestacional [induzida pela gravidez] com proteinúria significativa"
"O15","Eclâmpsia"
"O16","Hipertensão materna não especificada"
"O20","Hemorragia do início da gravidez"
"O21","Vômitos excessivos na gravidez"
"O22","Complicações venosas na gravidez"
"O23","Infecções do trato geniturinário na gravidez"
"O24","Diabetes mellitus na gravidez"
"O25","Desnutrição na gravidez"
"O26","Assistência materna por outras complicações ligadas predominantemente a gravidez"
"O28","Achados anormais do rastreamento [""screening""] antenatal da mãe"
"O29","Complicações de anestesia administrada durante a gravidez"
"O30","Gestação múltipla"
"O31","Complicações específicas de gestação múltipla"
"O32","Assistência prestada à mãe por motivo de apresentação anormal, conhecida ou suspeitada, do feto"
"O33","Assistência prestada à mãe por uma desproporção conhecida ou suspeita"
"O34","Assistência prestada à mãe por anormalidade, conhecida ou suspeita, dos órgãos pélvicos maternos"
"O35","Assistência prestada à mãe por anormalidade e lesão fetais, conhecidas ou suspeitadas"
"O36","Assistência prestada à mãe por outros problemas fetais conhecidos ou suspeitados"
"O40","Polihidrâmnio"
"O41","Outros transtornos das membranas e do líquido amniótico"
"O42","Ruptura prematura de membranas"
"O43","Transtornos da placenta"
"O44","Placenta prévia"
"O45","Descolamento prematuro da placenta [abruptio placentae]"
"O46","Hemorragia anteparto não classificada em outra parte"
"O47","Falso trabalho de parto"
"O48","Gravidez prolongada"
"O60","Parto pré-termo"
"O61","Falha na indução do trabalho de parto"
"O62","Anormalidades da contração uterina"
"O63","Trabalho de parto prolongado"
"O64","Obstrução do trabalho de parto devida à má-posição ou má-apresentação do feto"
"O65","Obstrução do trabalho de parto devida a anormalidade pélvica da mãe"
"O66","Outras formas de obstrução do trabalho de parto"
"O67","Trabalho de parto e parto complicados por hemorragia intraparto não classificados em outra parte"
"O68","Trabalho de parto e parto complicados por sofrimento fetal"
"O69","Trabalho de parto e parto complicados por anormalidade do cordão umbilical"
"O70","Laceração do períneo durante o parto"
"O71","Outros traumatismos obstétricos"
"O72","Hemorragia pós-parto"
"O73","Retenção da placenta e das membranas, sem hemorragias"
"O74","Complicações de anestesia durante o trabalho de parto e o parto"
"O75","Outras complicações do trabalho de parto e do parto não classificadas em outra parte"
"O80","Parto único espontâneo"
"O81","Parto único por fórceps ou vácuo-extrator"
"O82","Parto único por cesariana"
"O83","Outros tipos de parto único assistido"
"O84","Parto múltiplo"
"O85","Infecção puerperal"
"O86","Outras infecções puerperais"
"O87","Complicações venosas no puerpério"
"O88","Embolia de origem obstétrica"
"O89","Complicações da anestesia administrada durante o puerpério"
"O90","Complicações do puerpério não classificadas em outra parte"
"O91","Infecções mamárias associadas ao parto"
"O92","Outras afecções da mama e da lactação associadas ao parto"
"O94","Seqüelas de complicações da gravidez, parto e puerpério"
"O96","Morte, por qualquer causa obstétrica, que ocorre mais de 42 dias, mas menos de 1 ano, após o parto"
"O98","Doenças infecciosas e parasitárias maternas classificáveis em outra parte mas que compliquem a gravidez, o parto e o puerpério"
"O99","Outras doenças da mãe, classificadas em outra parte, mas que complicam a gravidez o parto e o puerpério"
