code,description
"P01","Feto e recém-nascido afetados por complicações maternas da gravidez"
"P02","Feto e recém-nascido afetados por complicações da placenta, do cordão umbilical e das membranas"
"P03","Feto e recém-nascido afetados por outras complicações do trabalho de parto e do parto"
"P04","Feto e recém-nascido afetados por influências nocivas transmitidas ao feto via placenta ou leite materno"
"P05","Crescimento fetal retardado e desnutrição fetal"
"P07","Transtornos relacionados com a gestação de curta duração e peso baixo ao nascer não classificados em outra parte"
"P08","Transtornos relacionados com a gestação prolongada e peso elevado ao nascer"
"P10","Laceração intracraniana e hemorragia devidas a traumatismo de parto"
"P11","Outros traumatismos de parto do sistema nervoso central"
"P13","Lesões do esqueleto devidas a traumatismo de parto"
"P14","Lesões ao nascer do sistema nervoso periférico"
"P20","Hipóxia intra-uterina"
"P21","Asfixia ao nascer"
"P25","Enfisema intersticial e afecções correlatas originadas no período perinatal"
"P26","Hemorragia pulmonar originada no período perinatal"
"P29","Transtornos cardiovasculares originados no período perinatal"
"P35","Doenças virais congênitas"
"P37","Outras doenças infecciosas e parasitárias congênitas"
"P39","Outras infecções específicas do período perinatal"
"P50","Perda sangüínea fetal"
"P55","Doença hemolítica do feto e do recém-nascido"
"P56","Hidropsia fetal devida a doença hemolítica"
"P57","Kernicterus"
"P59","Icterícia neonatal devida a outras causas e às não especificadas"
"P70","Transtornos transitórios do metabolismo dos carboidratos específicos do feto e do recém-nascido"
"P77","Enterocolite necrotizante do feto e do recém-nascido"
"P83","Outras afecções comprometendo o tegumento específicas do feto e do recém-nascido"
"P91","Outros distúrbios da função cerebral do recém-nascido"
"P92","Problemas de alimentação do recém-nascido"
"P93","Reações e intoxicações devidas a drogas administradas ao feto e ao recém-nascido"
"P94","Transtornos do tônus muscular do recém-nascido"
"P95","Morte fetal de causa não especificada"
"P96","Outras afecções originadas no período perinatal"
