code,description
"Q00","Anencefalia e malformações similares"
"Q01","Encefalocele"
"Q02","Microcefalia"
"Q03","Hidrocefalia congênita"
"Q04","Outras malformações congênitas do cérebro"
"Q05","Espinha bífida"
"Q06","Outras malformações congênitas da medula espinhal"
"Q07","Outras malformações congênitas do sistema nervoso"
"Q10","Malformações congênitas das pálpebras, do aparelho lacrimal e da órbita"
"Q11","Anoftalmia, microftalmia e macroftalmia"
"Q12","Malformações congênitas do cristalino"
"Q13","Malformações congênitas da câmara anterior do olho"
"Q14","Malformações congênitas da câmara posterior do olho"
"Q15","Outras malformações congênitas do olho"
"Q16","Malformações congênitas do ouvido causando comprometimento da audição"
"Q17","Outras malformações congênitas da orelha"
"Q18","Outras malformações congênitas da face e do pescoço"
"Q20","Malformações congênitas das câmaras e das comunicações cardíacas"
"Q21","Malformações congênitas dos septos cardíacos"
"Q22","Malformações congênitas das valvas pulmonar e tricúspide"
"Q23","Malformações congênitas das valvas aórtica e mitral"
"Q24","Outras malformações congênitas do coração"
"Q25","Malformações congênitas das grandes artérias"
"Q26","Malformações congênitas das grandes veias"
"Q27","Outras malformações congênitas do sistema vascular periférico"
"Q28","Outras malformações congênitas do aparelho circulatório"
"Q30","Malformação congênita do nariz"
"Q31","Malformações congênitas da laringe"
"Q32","Malformações congênitas da traquéia e dos brônquios"
"Q33","Malformações congênitas do pulmão"
"Q34","Outras malformações congênitas do aparelho respiratório"
"Q35","Fenda palatina"
"Q36","Fenda labial"
"Q37","Fenda labial com fenda palatina"
"Q38","Outras malformações congênitas da língua, da boca e da faringe"
"Q39","Malformações congênitas do esôfago"
"Q40","Outras malformações congênitas do trato digestivo superior"
"Q41","Ausência, atresia e estenose congênita do intestino delgado"
"Q42","Ausência, atresia e estenose congênita do cólon"
"Q43","Outras malformações congênitas do intestino"
"Q44","Malformações congênitas da vesícula biliar, das vias biliares e do fígado"
"Q45","Outras malformações congênitas do aparelho digestivo"
"Q50","Malformações congênitas dos ovários, das trompas de Falópio e dos ligamentos largos"
"Q51","Malformações congênitas do útero e do colo do útero"
"Q52","Outras malformações congênitas dos órgãos genitais femininos"
"Q53","Testículo não-descido"
"Q54","Hipospádias"
"Q55","Outras malformações congênitas dos órgãos genitais masculinos"
"Q56","Sexo indeterminado e pseudo-hermafroditismo"
"Q60","Agenesia renal e outros defeitos de redução do rim"
"Q61","Doenças císticas do rim"
"Q62","Anomalias congênitas obstrutivas da pelve renal e malformações congênitas do ureter"
"Q63","Outras malformações congênitas do rim"
"Q64","Outras malformações congênitas do aparelho urinário"
"Q65","Malformações congênitas do quadril"
"Q66","Deformidades congênitas do pé"
"Q67","Deformidades osteomusculares congênitas da cabeça, da face, da coluna e do tórax"
"Q68","Outras deformidades osteomusculares congênitas"
"Q69","Polidactilia"
"Q70","Sindactilia"
"Q71","Defeitos, por redução, do membro superior"
"Q72","Defeitos, por redução, do membro inferior"
"Q73","Defeitos por redução de membro não especificado"
"Q74","Outras malformações congênitas dos membros"
"Q75","Outras malformações congênitas dos ossos do crânio e da face"
"Q76","Malformações congênitas da coluna vertebral e dos ossos do tórax"
"Q77","Osteocondrodisplasia com anomalias de crescimento dos ossos longos e da coluna vertebral"
"Q78","Outras osteocondrodisplasias"
"Q79","Malformações congênitas do sistema osteomuscular não classificadas em outra parte"
"Q80","Ictiose congênita"
"Q81","Epidermólise bolhosa"
"Q82","Outras malformações congênitas da pele"
"Q83","Malformações congênitas da mama"
"Q84","Outras malformações congênitas do tegumento"
"Q85","Facomatoses não classificadas em outra parte"
"Q86","Síndromes com malformações congênitas devidas a causas exógenas conhecidas, não classificadas em outra parte"
"Q87","Outras síndromes com malformações congênitas que acometem múltiplos sistemas"
"Q89","Outras malformações congênitas não classificadas em outra parte"
"Q90","Síndrome de Down"
"Q91","Síndrome de Edwards e síndrome de Patau"
"Q92","Outras trissomias e trissomias parciais dos autossomos, não classificadas em outra parte"
"Q93","Monossomias e deleções dos autossomos, não classificadas em outra parte"
"Q95","Rearranjos equilibrados e marcadores estruturais, não classificados em outra parte"
"Q96","Síndrome de Turner"
"Q98","Outras anomalias dos cromossomos sexuais, fenótipo masculino, não classificadas em outra parte"
"Q99","Outras anomalias dos cromossomos, não classificadas em outra parte"
