code,description
"R00","Anormalidades do batimento cardíaco"
"R01","Sopros e outros ruídos cardíacos"
"R02","Gangrena não classificada em outra parte"
"R03","Valor anormal da pressão arterial sem diagnóstico"
"R04","Hemorragia das vias respiratórias"
"R05","Tosse"
"R06","Anormalidades da respiração"
"R07","Dor de garganta e no peito"
"R09","Outros sintomas e sinais relativos aos aparelhos circulatório e respiratório"
"R10","Dor abdominal e pélvica"
"R11","Náusea e vômitos"
"R12","Pirose"
"R13","Disfagia"
"R14","Flatulência e afecções correlatas"
"R15","Incontinência fecal"
"R16","Hepatomegalia e esplenomegalia não classificadas em outra parte"
"R17","Icterícia não especificada"
"R18","Ascite"
"R19","Outros sintomas e sinais relativos ao aparelho digestivo e ao abdome"
"R20","Distúrbios da sensibilidade cutânea"
"R21","Eritema e outras erupções cutâneas não especificadas"
"R22","Tumefação, massa ou tumoração localizadas da pele e do tecido subcutâneo"
"R23","Outras alterações cutâneas"
"R25","Movimentos involuntários anormais"
"R26","Anormalidades da marcha e da mobilidade"
"R27","Outros distúrbios da coordenação"
"R29","Outros sintomas e sinais relativos aos sistemas nervoso e osteomuscular"
"R30","Dor associada à micção"
"R31","Hematúria não especificada"
"R32","Incontinência urinária não especificada"
"R33","Retenção urinária"
"R34","Anúria e oligúria"
"R35","Poliúria"
"R36","Secreção uretral"
"R39","Outros sintomas e sinais relativos ao aparelho urinário"
"R40","Sonolência, estupor e coma"
"R41","Outros sintomas e sinais relativos à função cognitiva e à consciência"
"R42","Tontura e instabilidade"
"R43","Distúrbios do olfato e do paladar"
"R44","Outros sintomas e sinais relativos às sensações e às percepções gerais"
"R45","Sintomas e sinais relativos ao estado emocional"
"R46","Sintomas e sinais relativos à aparência e ao comportamento"
"R47","Distúrbios da fala não classificados em outra parte"
"R48","Dislexia e outras disfunções simbólicas, não classificadas em outra parte"
"R49","Distúrbios da voz"
"R50","Febre de origem desconhecida"
"R51","Cefaléia"
"R52","Dor não classificada em outra parte"
"R53","Mal estar, fadiga"
"R54","Senilidade"
"R55","Síncope e colapso"
"R56","Convulsões, não classificadas em outra parte"
"R57","Choque não classificado em outra parte"
"R58","Hemorragia não classificada em outra parte"
"R59","Aumento de volume dos gânglios linfáticos"
"R60","Edema não classificado em outra parte"
"R61","Hiperidrose"
"R62","Retardo do desenvolvimento fisiológico normal"
"R63","Sintomas e sinais relativos à ingestão de alimentos e líquidos"
"R64","Caquexia"
"R68","Outros sintomas e sinais gerais"
"R69","Causas desconhecidas e não especificadas de morbidade"
"R72","Anormalidade dos leucócitos não classificada em outra parte"
"R73","Aumento da glicemia"
"R74","Anormalidades dos níveis de enzimas séricas"
"R75","Evidência laboratorial do vírus da imunodeficiência humana [HIV]"
"R76","Outros achados imunológicos anormais no soro"
"R77","Outras anormalidades das proteínas plasmáticas"
"R78","Presença de drogas e de outras substâncias normalmente não encontradas no sangue"
"R79","Outros achados anormais de exames químicos do sangue"
"R80","Proteinúria isolada"
"R81","Glicosúria"
"R82","Outros achados anormais na urina"
"R83","Achados anormais no líquido cefalorraquidiano"
"R84","Achados anormais de material proveniente dos órgãos respiratórios e do tórax"
"R85","Achados anormais de material proveniente dos órgãos digestivos e da cavidade abdominal"
"R86","Achados anormais de material proveniente dos órgãos genitais masculinos"
"R87","Achados anormais de material proveniente dos órgãos genitais femininos"
"R89","Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos"
"R90","Resultados anormais de exames para diagnóstico por imagem do sistema nervoso central"
"R91","Achados anormais, de exames para diagnóstico por imagem, do pulmão"
"R92","Achados anormais, de exames para diagnóstico por imagem, da mama"
"R93","Achados anormais de exames para diagnóstico por imagem de outras estruturas do corpo"
"R94","Resultados anormais de estudos de função"
"R96","Outras mortes súbitas de causa desconhecida"
"R99","Outras causas mal definidas e as não especificadas de mortalidade"
