code,description
"S00","Traumatismo superficial da cabeça"
"S01","Ferimento da cabeça"
"S02","Fratura do crânio e dos ossos da face"
"S03","Luxação, entorse ou distensão das articulações e dos ligamentos da cabeça"
"S04","Traumatismo dos nervos cranianos"
"S05","Traumatismo do olho e da órbita ocular"
"S06","Traumatismo intracraniano"
"S07","Lesões por esmagamento da cabeça"
"S08","Amputação traumática de parte da cabeça"
"S09","Outros traumatismos da cabeça e os não especificados"
"S10","Traumatismo superficial do pescoço"
"S11","Ferimento do pescoço"
"S12","Fratura do pescoço"
"S13","Luxação, entorse ou distensão das articulações e dos ligamentos do pescoço"
"S14","Traumatismo de nervos e da medula espinhal ao nível cervical"
"S15","Traumatismo dos vasos sangüíneos ao nível do pescoço"
"S16","Traumatismo de tendões e de músculos do pescoço"
"S17","Lesões por esmagamento do pescoço"
"S18","Amputação traumática ao nível do pescoço"
"S19","Outros traumatismos do pescoço e os não especificados"
"S20","Traumatismo superficial do tórax"
"S21","Ferimento do tórax"
"S22","Fratura de costela(s), esterno e coluna torácica"
"S23","Luxação, entorse e distensão de articulações e dos ligamentos do tórax"
"S24","Traumatismos de nervos e da medula espinhal ao nível do tórax"
"S25","Traumatismo de vasos sangüíneos do tórax"
"S26","Traumatismo do coração"
"S27","Traumatismo de outros órgãos intratorácicos e dos não especificados"
"S28","Lesão por esmagamento do tórax e amputação traumática de parte do tórax"
"S29","Outros traumatismos do tórax e os não especificados"
"S30","Traumatismo superficial do abdome, do dorso e da pelve"
"S31","Ferimento do abdome, do dorso e da pelve"
"S32","Fratura da coluna lombar e da pelve"
"S33","Luxação, entorse ou distensão das articulações e dos ligamentos da coluna lombar e da pelve"
"S34","Traumatismo dos nervos e da medula lombar ao nível do abdome, do dorso e da pelve"
"S35","Traumatismo de vasos sangüíneos ao nível do abdome, do dorso e da pelve"
"S36","Traumatismo de órgãos intra-abdominais"
"S37","Traumatismo do aparelho urinário e de órgãos pélvicos"
"S38","Lesão por esmagamento e amputação traumática de parte do abdome, do dorso e da pelve"
"S39","Outros traumatismos e os não especificados do abdome, do dorso e da pelve"
"S40","Traumatismo superficial do ombro e do braço"
"S41","Ferimento do ombro e do braço"
"S42","Fratura do ombro e do braço"
"S43","Luxação, entorse e distensão das articulações e dos ligamentos da cintura escapular"
"S44","Traumatismo de nervos ao nível do ombro e do braço"
"S45","Traumatismo dos vasos sangüíneos ao nível do ombro e do braço"
"S46","Traumatismo de tendão e músculo ao nível do ombro e do braço"
"S47","Lesão por esmagamento do ombro e do braço"
"S48","Amputação traumática do ombro e do braço"
"S49","Outros traumatismos e os não especificados do ombro e do braço"
"S50","Traumatismo superficial do cotovelo e do antebraço"
"S51","Ferimento do antebraço"
"S52","Fratura do antebraço"
"S53","Luxação, entorse e distensão das articulações e dos ligamentos do cotovelo"
"S54","Traumatismo de nervos ao nível do antebraço"
"S55","Traumatismo de vasos sangüíneos ao nível do antebraço"
"S56","Traumatismo do músculo e tendão ao nível do antebraço"
"S57","Lesão por esmagamento do antebraço"
"S58","Amputação traumática do cotovelo e do antebraço"
"S59","Outros traumatismos do antebraço e os não especificados"
"S60","Traumatismo superficial do punho e da mão"
"S61","Ferimento do punho e da mão"
"S62","Fratura ao nível do punho e da mão"
"S63","Luxação, entorse e distensão das articulações e dos ligamentos ao nível do punho e da mão"
"S64","Traumatismo de nervos ao nível do punho e da mão"
"S65","Traumatismo de vasos sangüíneos ao nível do punho e da mão"
"S66","Traumatismo de músculo e tendão ao nível do punho e da mão"
"S67","Lesão por esmagamento do punho e da mão"
"S68","Amputação traumática ao nível do punho e da mão"
"S69","Outros traumatismos e os não especificados do punho e da mão"
"S70","Traumatismo superficial do quadril e da coxa"
"S71","Ferimento do quadril e da coxa"
"S72","Fratura do fêmur"
"S73","Luxação, entorse e distensão da articulação e dos ligamentos do quadril"
"S74","Traumatismo de nervos ao nível do quadril e da coxa"
"S75","Traumatismo de vasos sangüíneos ao nível do quadril e da coxa"
"S76","Traumatismo de músculo e de tendão ao nível do quadril e da coxa"
"S77","Lesão por esmagamento do quadril e da coxa"
"S78","Amputação traumática do quadril e da coxa"
"S79","Outros traumatismos e os não especificados do quadril e da coxa"
"S80","Traumatismo superficial da perna"
"S81","Ferimento da perna"
"S82","Fratura da perna, incluindo tornozelo"
"S83","Luxação, entorse e distensão das articulações e dos ligamentos do joelho"
"S84","Traumatismo de nervos periféricos da perna"
"S85","Traumatismo de vasos sangüíneos da perna"
"S86","Traumatismos de músculo e de tendão ao nível da perna"
"S87","Traumatismo por esmagamento da perna"
"S88","Amputação traumática da perna"
"S89","Outros traumatismos e os não especificados da perna"
"S90","Traumatismo superficial do tornozelo e do pé"
"S91","Ferimentos do tornozelo e do pé"
"S92","Fratura do pé (exceto do tornozelo)"
"S93","Luxação, entorse e distensão das articulações e dos ligamentos ao nível do tornozelo e do pé"
"S94","Traumatismo dos nervos ao nível do tornozelo e do pé"
"S95","Traumatismo de vasos sangüíneos ao nível do tornozelo e do pé"
"S96","Traumatismos do músculo e tendão ao nível do tornozelo e do pé"
"S97","Lesão por esmagamento do tornozelo e do pé"
"S98","Amputação traumática do tornozelo e do pé"
"S99","Outros traumatismos e os não especificados do tornozelo e do pé"
