code,description
"T00","Traumatismos superficiais envolvendo múltiplas regiões do corpo"
"T01","Ferimentos envolvendo múltiplas regiões do corpo"
"T02","Fraturas envolvendo múltiplas regiões do corpo"
"T03","Luxações, entorses e distensões envolvendo regiões múltiplas do corpo"
"T04","Traumatismos por esmagamento envolvendo múltiplas regiões do corpo"
"T05","Amputações traumáticas envolvendo múltiplas regiões do corpo"
"T06","Outros traumatismos envolvendo regiões múltiplas do corpo, não classificados em outra parte"
"T07","Traumatismos múltiplos não especificados"
"T08","Fratura da coluna, nível não especificado"
"T09","Outros traumatismos de coluna e tronco, nível não especificado"
"T10","Fratura do membro superior, nível não especificado"
"T11","Outros traumatismos de membro superior, nível não especificado"
"T12","Fratura do membro inferior, nível não especificado"
"T13","Outros traumatismos de membro inferior, nível não especificado"
"T14","Traumatismo de região não especificada do corpo"
"T15","Corpo estranho na parte externa do olho"
"T16","Corpo estranho no ouvido"
"T17","Corpo estranho no trato respiratório"
"T18","Corpo estranho no aparelho digestivo"
"T19","Corpo estranho no trato geniturinário"
"T20","Queimadura e corrosão da cabeça e pescoço"
"T21","Queimadura e corrosão do tronco"
"T22","Queimadura e corrosão do ombro e membro superior, exceto punho e mão"
"T23","Queimadura e corrosão do punho e da mão"
"T24","Queimadura e corrosão do quadril e membro inferior, exceto tornozelo e do pé"
"T25","Queimadura e corrosão do tornozelo e do pé"
"T26","Queimadura e corrosão limitadas ao olho e seus anexos"
"T27","Queimadura e corrosão do trato respiratório"
"T28","Queimadura e corrosão de outros órgãos internos"
"T29","Queimaduras e corrosões de múltiplas regiões do corpo"
"T30","Queimadura e corrosão, parte não especificada do corpo"
"T31","Queimaduras classificadas segundo a extensão da superfície corporal atingida"
"T32","Corrosões classificadas segundo a extensão da superfície corporal atingida"
"T33","Geladura superficial"
"T34","Geladura com necrose de tecidos"
"T35","Geladura de múltiplas partes do corpo e das não especificadas"
"T38","Intoxicação por hormônios, seus substitutos sintéticos e seus antagonistas não classificados em outra parte"
"T39","Intoxicação por analgésicos, antipiréticos e anti-reumáticos não-opiáceos"
"T40","Intoxicação por narcóticos e psicodislépticos [alucinógenos]"
"T41","Intoxicação por anestésicos e gases terapêuticos"
"T42","Intoxicação por antiepilépticos, sedativos-hipnóticos e antiparkinsonianos"
"T43","Intoxicação por drogas psicotrópicas não classificadas em outra parte"
"T45","Intoxicação por substâncias de ação essencialmente sistêmica e substâncias hematológicas, não classificadas em outra parte"
"T46","Intoxicação por substâncias que atuam primariamente sobre o aparelho circulatório"
"T48","Intoxicação por substâncias que atuam primariamente sobre os músculos lisos e esqueléticos e sobre o aparelho respiratório"
"T50","Intoxicação por diuréticos e outras drogas, medicamentos e substâncias biológicas e as não especificadas"
"T51","Efeito tóxico do álcool"
"T52","Efeito tóxico de solventes orgânicos"
"T54","Efeito tóxico de corrosivos"
"T56","Efeito tóxico de metais"
"T57","Efeito tóxico de outras substâncias inorgânicas"
"T58","Efeito tóxico de monóxido de carbono"
"T59","Efeito tóxico de outros gases, fumaças e vapores"
"T60","Efeito tóxico de pesticidas"
"T62","Efeito tóxico de outras substâncias nocivas ingeridas como alimento"
"T63","Efeito tóxico de contato com animais venenosos"
"T64","Efeito tóxico da aflatoxina e de outras micotoxinas contaminantes de alimentos"
"T65","Efeito tóxico de outras substâncias e as não especificadas"
"T66","Efeitos não especificados de radiação"
"T67","Efeitos do calor e da luz"
"T68","Hipotermia"
"T69","Outros efeitos da temperatura reduzida"
"T70","Efeitos da pressão atmosférica e da pressão da água"
"T73","Efeitos de outras privações"
"T74","Síndromes de maus tratos"
"T75","Efeitos de outras causas externas"
"T78","Efeitos adversos não classificados em outra parte"
"T79","Algumas complicações precoces dos traumatismos não classificadas em outra parte"
"T80","Complicações conseqüentes à infusão, transfusão ou injeção terapêutica"
"T81","Complicações de procedimentos não classificadas em outra parte"
"T82","Complicações de dispositivos protéticos, implantes e enxertos cardíacos e vasculares"
"T83","Complicações de dispositivos protéticos, implantes e enxertos geniturinários internos"
"T84","Complicações de dispositivos protéticos, implantes e enxertos ortopédicos internos"
"T85","Complicações de outros dispositivos protéticos, implantes e enxertos internos"
"T86","Falha e rejeição de órgãos e tecidos transplantados"
"T87","Complicações próprias de reimplante e amputação"
"T88","Outras complicações de cuidados médicos e cirúrgicos não classificadas em outra parte"
"T90","Seqüelas de traumatismo da cabeça"
"T91","Seqüelas de traumatismos do pescoço e do tronco"
"T92","Seqüelas de traumatismos do membro superior"
"T93","Seqüelas de traumatismos do membro inferior"
"T94","Seqüelas de traumatismos envolvendo múltiplas regiões do corpo e as não especificadas"
"T95","Seqüelas de queimaduras, corrosões e geladuras"
"T96","Seqüelas de intoxicação por drogas, medicamentos e substâncias biológicas"
"T97","Seqüelas de efeitos tóxicos de substâncias de origem predominantemente não-medicinal"
"T98","Seqüelas de outros efeitos de causas externas e dos não especificados"
