code,description
"V01","Pedestre traumatizado em colisão com um veículo a pedal"
"V02","Pedestre traumatizado em colisão com um veículo a motor de duas ou três rodas"
"V03","Pedestre traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
"V04","Pedestre traumatizado em colisão com um veículo de transporte pesado ou com um ônibus"
"V06","Pedestre traumatizado em colisão com outro veículo não-motorizado"
"V09","Pedestre traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"V10","Ciclista traumatizado em colisão com um pedestre ou um animal"
"V11","Ciclista traumatizado em colisão com outro veículo a pedal"
"V12","Ciclista traumatizado em colisão com um veículo a motor de duas ou três rodas"
"V13","Ciclista traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
"V14","Ciclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"V17","Ciclista traumatizado em colisão com um objeto fixo ou parado"
"V18","Ciclista traumatizado em um acidente de transporte sem colisão"
"V19","Ciclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"V20","Motociclista traumatizado em colisão com um pedestre ou um animal"
"V21","Motociclista traumatizado em colisão com um veículo a pedal"
"V22","Motociclista traumatizado em colisão com um veículo a motor de duas ou três rodas"
"V23","Motociclista traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
"V24","Motociclista traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"V25","Motociclista traumatizado em colisão com um trem ou um veículo ferroviário"
"V26","Motociclista traumatizado em colisão com outro veículo não-motorizado"
"V27","Motociclista traumatizado em colisão com um objeto fixo ou parado"
"V28","Motociclista traumatizado em um acidente de transporte sem colisão"
"V29","Motociclista traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"V30","Ocupante de um triciclo motorizado traumatizado em colisão com um pedestre ou um animal"
"V33","Ocupante de um triciclo motorizado traumatizado em colisão com um automóvel, ""pick up"" ou caminhonete"
"V34","Ocupante de um triciclo motorizado traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"V39","Ocupante de um triciclo motorizado traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"V40","Ocupante de um automóvel [carro] traumatizado em colisão com um pedestre ou um animal"
"V42","Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo a motor de duas ou três rodas"
"V43","Ocupante de um automóvel [carro] traumatizado em colisão com um automóvel [carro], ""pick up"" ou caminhonete"
"V44","Ocupante de um automóvel [carro] traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"V45","Ocupante de um automóvel [carro] traumatizado em colisão com um trem [comboio] ou um veículo ferroviário"
"V46","Ocupante de um automóvel [carro] traumatizado em colisão com outro veículo não-motorizado"
"V47","Ocupante de um automóvel [carro] traumatizado em colisão com um objeto fixo ou parado"
"V48","Ocupante de um automóvel [carro] traumatizado em um acidente de transporte sem colisão"
"V49","Ocupante de um automóvel [carro] traumatizado em outro acidentes de transporte e em acidentes de transporte não especificados"
"V56","Ocupante de uma caminhonete traumatizado em colisão com outro veículo não-motorizado"
"V57","Ocupante de uma caminhonete traumatizado em colisão com um objeto fixo ou parado"
"V59","Ocupante de uma caminhonete traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"V60","Ocupante de um veículo de transporte pesado traumatizado em colisão com um pedestre ou um animal"
"V63","Ocupante de um veículo de transporte pesado traumatizado em colisão com um automóvel [carro] ou uma caminhonete"
"V64","Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo de transporte pesado ou um ônibus"
"V66","Ocupante de um veículo de transporte pesado traumatizado em colisão com um outro veículo não-motorizado"
"V68","Ocupante de um veículo de transporte pesado traumatizado em um acidente de transporte sem colisão"
"V69","Ocupante de um veículo de transporte pesado traumatizado em outros acidentes de transporte não especificados"
"V72","Ocupante de um ônibus traumatizado em colisão com um outro veículo a motor de duas ou três rodas"
"V74","Ocupante de um ônibus traumatizado em colisão com um veículo de transporte pesado ou um ônibus"
"V78","Ocupante de um ônibus traumatizado em um acidente de transporte sem colisão"
"V79","Ocupante de um ônibus traumatizado em outros acidentes de transporte e em acidentes de transporte não especificados"
"V80","Pessoa montada em animal ou ocupante de um veículo a tração animal traumatizado em um acidente de transporte"
"V81","Ocupante de um trem [comboio] ou um veículo ferroviário traumatizado em um acidente de transporte"
"V82","Ocupante de um bonde [carro elétrico] traumatizado em um acidente de transporte"
"V83","Ocupante de um veículo especial a motor usado principalmente em áreas industriais traumatizado em um acidente de transporte"
"V84","Ocupante de um veículo especial a motor de uso essencialmente agrícola traumatizado em um acidente de transporte"
"V87","Acidente de trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima"
"V88","Acidente não-de-trânsito de tipo especificado, mas sendo desconhecido o modo de transporte da vítima"
"V89","Acidente com um veículo a motor ou não-motorizado, tipo(s) de veículo(s) não especificado(s)"
"V91","Acidente com embarcação causando outro tipo de traumatismo"
"V92","Afogamento e submersão relacionados com transporte por água sem acidente com a embarcação"
"V93","Acidente a bordo de uma embarcação, sem acidente da embarcação e não causando afogamento ou submersão"
"V96","Acidente de uma aeronave sem motor causando traumatismo a ocupante"
"V98","Outros acidentes de transporte especificados"
"V99","Acidente de transporte não especificado"
