code,description
"W00","Queda no mesmo nível envolvendo gelo e neve"
"W01","Queda no mesmo nível por escorregão, tropeção ou passos em falsos [traspés]"
"W02","Queda envolvendo patins de rodas ou para gelo, esqui ou pranchas de rodas"
"W03","Outras quedas no mesmo nível por colisão com ou empurrão por outra pessoa"
"W05","Queda envolvendo uma cadeira de rodas"
"W06","Queda de um leito"
"W07","Queda de uma cadeira"
"W08","Queda de outro tipo de mobília"
"W10","Queda em ou de escadas ou degraus"
"W11","Queda em ou de escadas de mão"
"W12","Queda em ou de um andaime"
"W13","Queda de ou para fora de edifícios ou outras estruturas"
"W14","Queda de árvore"
"W15","Queda de penhasco"
"W17","Outras quedas de um nível a outro"
"W18","Outras quedas no mesmo nível"
"W19","Queda sem especificação"
"W20","Impacto causado por objeto lançado, projetado ou em queda"
"W21","Impacto acidental ativo ou passivo causado por equipamento esportivo"
"W22","Impacto acidental ativo ou passivo causado por outros objetos"
"W23","Apertado, colhido, comprimido ou esmagado dentro de ou entre objetos"
"W25","Contato com vidro cortante"
"W26","Contato com faca, espada e punhal"
"W27","Contato com ferramentas manuais sem motor"
"W28","Contato com segadeira motorizada para cortar ou aparar a grama"
"W29","Contato com outros utensílios manuais e aparelhos domésticos equipados com motor"
"W30","Contato com maquinaria agrícola"
"W31","Contato com outras máquinas e com as não especificadas"
"W32","Projétil de revólver"
"W33","Rifle, espingarda e armas de fogo de maior tamanho"
"W34","Projéteis de outras armas de fogo e das não especificadas"
"W35","Explosão ou ruptura de caldeira"
"W37","Explosão ou ruptura de pneumático, tubulação ou mangueira, pressurizados"
"W38","Explosão ou ruptura de outros aparelhos pressurizados especificados"
"W39","Queima de fogos de artifício"
"W40","Explosão de outros materiais"
"W44","Penetração de corpo estranho no ou através de olho ou orifício natural"
"W45","Penetração de corpo ou objeto estranho através da pele"
"W49","Exposição a outras forças mecânicas inanimadas e às não especificadas"
"W50","Golpe, pancada, pontapé, mordedura ou escoriação infligidos por outra pessoa"
"W51","Colisão entre duas pessoas"
"W52","Esmagado, empurrado ou pisoteado por multidão ou debandada em massa de pessoas"
"W54","Mordedura ou golpe provocado por cão"
"W55","Mordedura ou golpe provocado por outros animais mamíferos"
"W56","Contato com animais marinhos"
"W57","Mordeduras e picadas de inseto e de outros artrópodes, não-venenosos"
"W58","Mordedura ou golpe provocado por crocodilo ou aligator"
"W59","Mordedura ou esmagamento provocado por outros répteis"
"W60","Contato com espinhos de plantas ou com folhas aguçadas"
"W64","Exposição a outras forças mecânicas animadas e às não especificadas"
"W65","Afogamento e submersão durante banho em banheira"
"W66","Afogamento e submersão consecutiva a queda dentro de uma banheira"
"W69","Afogamento e submersão em águas naturais"
"W70","Afogamento e submersão conseqüentes a queda dentro de águas naturais"
"W74","Afogamento e submersão não especificados"
"W75","Sufocação e estrangulamento acidental na cama"
"W77","Risco a respiração devido a desmoronamento, queda de terra e de outras substâncias"
"W78","Inalação do conteúdo gástrico"
"W79","Inalação e ingestão de alimentos causando obstrução do trato respiratório"
"W80","Inalação e ingestão de outros objetos causando obstrução do trato respiratório"
"W81","Confinado ou aprisionado em um ambiente pobre em oxigênio"
"W83","Outros riscos especificados à respiração"
"W84","Riscos não especificados à respiração"
"W85","Exposição a linhas de transmissão de corrente elétrica"
"W86","Exposição a outra corrente elétrica especificada"
"W87","Exposição a corrente elétrica não especificada"
"W92","Exposição a um calor excessivo de origem artificial"
"W99","Exposição a outros fatores ambientais artificiais e aos não especificados"
