code,description
"X04","Exposição a combustão de substância muito inflamável"
"X09","Exposição a tipo não especificado de fumaças, fogo ou chamas"
"X10","Contato com bebidas, alimentos, gordura e óleo de cozinha quentes"
"X12","Contato com outros líquidos quentes"
"X13","Contato com vapor d'água e com vapores quentes"
"X16","Contato com aquecedores, radiadores e tubulação"
"X19","Contato com outras fontes de calor ou com substâncias quentes não especificados"
"X20","Contato com serpentes e lagartos venenosos"
"X21","Contato com aranhas venenosas"
"X22","Contato com escorpiões"
"X23","Contato com abelhas, vespas e vespões"
"X26","Contato com animais e plantas marinhos venenosos"
"X27","Contato com outros animais venenosos especificados"
"X29","Contato com animais ou plantas venenosos, sem especificação"
"X33","Vítima de raio"
"X36","Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre"
"X38","Vítima de inundação"
"X40","Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos"
"X41","Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte"
"X42","Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte"
"X43","Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo"
"X44","Envenenamento [intoxicação] acidental por e exposição a outras drogas, medicamentos e substâncias biológicas não especificadas"
"X46","Envenenamento [intoxicação] acidental por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores"
"X47","Intoxicação acidental por e exposição a outros gases e vapores"
"X48","Envenenamento [intoxicação] acidental por e exposição a pesticidas"
"X49","Envenenamento [intoxicação] acidental por e exposição a outras substâncias químicas nocivas e às não especificadas"
"X50","Excesso de exercícios e movimentos vigorosos ou repetitivos"
"X54","Falta de água"
"X58","Exposição a outros fatores especificados"
"X59","Exposição a fatores não especificados"
"X60","Auto-intoxicação por e exposição, intencional, a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos"
"X61","Auto-intoxicação por e exposição, intencional, a drogas anticonvulsivantes [antiepilépticos] sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte"
"X62","Auto-intoxicação por e exposição, intencional, a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte"
"X63","Auto-intoxicação por e exposição, intencional, a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo"
"X64","Auto-intoxicação por e exposição, intencional, a outras drogas, medicamentos e substâncias biológicas e às não especificadas"
"X65","Auto-intoxicação voluntária por álcool"
"X66","Auto-intoxicação intencional por solventes orgânicos, hidrocarbonetos halogenados e seus vapores"
"X68","Auto-intoxicação por e exposição, intencional, a pesticidas"
"X69","Auto-intoxicação por e exposição, intencional, a outros produtos químicos e substâncias nocivas não especificadas"
"X70","Lesão autoprovocada intencionalmente por enforcamento, estrangulamento e sufocação"
"X72","Lesão autoprovocada intencionalmente por disparo de arma de fogo de mão"
"X73","Lesão autoprovocada intencionalmente por disparo de espingarda, carabina, ou arma de fogo de maior calibre"
"X74","Lesão autoprovocada intencionalmente por disparo de outra arma de fogo e de arma de fogo não especificada"
"X76","Lesão autoprovocada intencionalmente pela fumaça, pelo fogo e por chamas"
"X78","Lesão autoprovocada intencionalmente por objeto cortante ou penetrante"
"X79","Lesão autoprovocada intencionalmente por objeto contundente"
"X80","Lesão autoprovocada intencionalmente por precipitação de um lugar elevado"
"X81","Lesão autoprovocada intencionalmente por precipitação ou permanência diante de um objeto em movimento"
"X83","Lesão autoprovocada intencionalmente por outros meios especificados"
"X84","Lesão autoprovocada intencionalmente por meios não especificados"
"X85","Agressão por meio de drogas, medicamentos e substâncias biológicas"
"X90","Agressão por meio de produtos químicos e substâncias nocivas não especificados"
"X92","Agressão por meio de afogamento e submersão"
"X93","Agressão por meio de disparo de arma de fogo de mão"
"X94","Agressão por meio de disparo de espingarda, carabina ou arma de fogo de maior calibre"
"X95","Agressão por meio de disparo de outra arma de fogo ou de arma não especificada"
"X99","Agressão por meio de objeto cortante ou penetrante"
