code,description
"Y00","Agressão por meio de um objeto contundente"
"Y03","Agressão por meio de impacto de um veículo a motor"
"Y04","Agressão por meio de força corporal"
"Y05","Agressão sexual por meio de força física"
"Y07","Outras síndromes de maus tratos"
"Y08","Agressão por outros meios especificados"
"Y09","Agressão por meios não especificados"
"Y11","Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada"
"Y14","Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada"
"Y17","Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada"
"Y18","Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada"
"Y19","Envenenamento [intoxicação] por e exposição a outros produtos químicos e substâncias nocivas e aos não especificados, intenção não determinada"
"Y20","Enforcamento, estrangulamento e sufocação, intenção não determinada"
"Y22","Disparo de pistola, intenção não determinada"
"Y23","Disparo de fuzil, carabina e arma de fogo de maior calibre, intenção não determinada"
"Y24","Disparo de outra arma de fogo e de arma de fogo não especificada, intenção não determinada"
"Y26","Exposição a fumaça, fogo e chamas, intenção não determinada"
"Y28","Contato com objeto cortante ou penetrante, intenção não determinada"
"Y29","Contato com objeto contundente, intenção não determinada"
"Y30","Queda, salto ou empurrado de um lugar elevado, intenção não determinada"
"Y34","Fatos ou eventos não especificados e intenção não determinada"
"Y41","Outros antiinfecciosos e antiparasitários sistêmicos"
"Y42","Hormônios e seus substitutos sintéticos e antagonistas, não classificados em outra parte"
"Y43","Substâncias de ação primariamente sistêmica"
"Y44","Substâncias farmacológicas que atuam primariamente sobre os constituintes do sangue"
"Y45","Substâncias analgésicas, antipiréticas e antiinflamatórias"
"Y47","Sedativos, hipnóticos e tranquilizantes [ansiolíticos]"
"Y49","Substâncias psicotrópicas, não classificadas em outra parte"
"Y52","Substâncias que atuam primariamente sobre o aparelho cardiovascular"
"Y54","Substâncias que atuam primariamente sobre o metabolismo da água, dos sais minerais e do ácido úrico"
"Y57","Outras drogas e medicamentos e as não especificadas"
"Y59","Outras vacinas e substâncias biológicas e as não especificadas"
"Y60","Corte, punção, perfuração ou hemorragia acidentais durante a prestação de cuidados médicos ou cirúrgicos"
"Y61","Objeto estranho deixado acidentalmente no corpo durante a prestação de cuidados cirúrgicos e médicos"
"Y63","Erros de dosagem durante a prestação de cuidados médicos e cirúrgicos"
"Y64","Medicamentos ou substâncias biológicas contaminados"
"Y65","Outros acidentes durante a prestação de cuidados médicos e cirúrgicos"
"Y77","Dispositivos (aparelhos) utilizados em oftalmologia, associados a incidentes adversos"
"Y79","Dispositivos (aparelhos) ortopédicos, associado a incidentes adversos"
"Y80","Dispositivos (aparelhos) utilizados em medicina física (fisiatria), associado a incidentes adversos"
"Y81","Dispositivos (aparelhos) utilizados em cirurgia geral ou cirurgia plástica, associados a incidente adversos"
"Y83","Reação anormal em paciente ou complicação tardia, causadas por intervenção cirúrgica e por outros atos cirúrgicos, sem menção de acidente durante a intervenção"
"Y84","Reação anormal em paciente ou complicação tardia, causadas por outros procedimentos médicos, sem menção de acidente durante o procedimento"
"Y85","Seqüelas de acidentes de transporte"
"Y86","Seqüelas de outros acidentes"
"Y87","Seqüelas de uma lesão autoprovocada intencionalmente, de agressão ou de um fato cuja intenção é indeterminada"
"Y88","Seqüelas de cuidado médico ou cirúrgico considerados como uma causa externa"
"Y89","Seqüelas de outras causas externas"
"Y90","Evidência de alcoolismo determinada por taxas de alcoolemia"
"Y91","Evidência de alcoolismo determinada pelo nível da intoxicação"
"Y95","Circunstância relativa as condições nosocomiais (hospitalares)"
"Y96","Circunstância relativa às condições de trabalho"
"Y98","Circunstâncias relativas a condições do modo de vida"
