code,description
"Z00","Exame geral e investigação de pessoas sem queixas ou diagnóstico relatado"
"Z01","Outros exames e investigações especiais de pessoas sem queixa ou diagnóstico relatado"
"Z02","Exame médico e consulta com finalidades administrativas"
"Z03","Observação e avaliação médica por doenças e afecções suspeitas"
"Z04","Exame e observação por outras razões"
"Z08","Exame de seguimento após tratamento por neoplasia maligna"
"Z09","Exame de seguimento após tratamento de outras afecções que não neoplasias malignas"
"Z10","Exame geral de rotina (""check up"") de uma subpopulação definida"
"Z11","Exame especial de rastreamento (""screening"") de doenças infecciosas e parasitárias"
"Z12","Exame especial de rastreamento (""screening"") de neoplasias"
"Z13","Exame especial de rastreamento (""screening"") de outros transtornos e doenças"
"Z20","Contato com e exposição a doenças transmissíveis"
"Z21","Estado de infecção assintomática pelo vírus da imunodeficiência humana [HIV]"
"Z22","Portador de doença infecciosa"
"Z23","Necessidade de imunização contra uma única doença bacteriana"
"Z24","Necessidade de imunização contra algumas doenças virais únicas"
"Z25","Necessidade de imunização contra outras doenças virais únicas"
"Z26","Necessidade de imunização contra outras doenças infecciosas únicas"
"Z27","Necessidade de imunização associada contra combinações de doenças infecciosas"
"Z28","Imunização não realizada"
"Z29","Necessidade de outras medidas profiláticas"
"Z30","Anticoncepção"
"Z31","Medidas de procriação"
"Z32","Exame ou teste de gravidez"
"Z33","Gravidez como achado casual"
"Z34","Supervisão de gravidez normal"
"Z35","Supervisão de gravidez de alto risco"
"Z36","Rastreamento (""screening"") pré-natal"
"Z37","Resultado do parto"
"Z38","Nascidos vivos [nado-vivos] segundo o local de nascimento"
"Z39","Assistência e exame pós-natal"
"Z40","Cirurgia profilática"
"Z41","Procedimentos para outros propósitos exceto cuidados de saúde"
"Z42","Seguimento envolvendo cirurgia plástica"
"Z43","Atenção a orifícios artificiais"
"Z44","Colocação e ajustamento de aparelhos de prótese externa"
"Z45","Ajustamento e manuseio de dispositivo implantado"
"Z46","Colocação e ajustamento de outros aparelhos"
"Z47","Outros cuidados de seguimento ortopédico"
"Z48","Outro seguimento cirúrgico"
"Z49","Cuidados envolvendo diálise"
"Z50","Cuidados envolvendo o uso de procedimentos de reabilitação"
"Z51","Outros cuidados médicos"
"Z52","Doadores de órgãos e tecidos"
"Z53","Pessoas em contato com serviços de saúde para procedimentos específicos não realizados"
"Z54","Convalescença"
"Z56","Problemas relacionados com o emprego e com o desemprego"
"Z57","Exposição ocupacional a fatores de risco"
"Z58","Problemas relacionados com o ambiente físico"
"Z59","Problemas relacionados com a habitação e com as condições econômicas"
"Z60","Problemas relacionados com o meio social"
"Z61","Problemas relacionados com eventos negativos de vida na infância"
"Z62","Outros problemas relacionados com a educação da criança"
"Z63","Outros problemas relacionados com o grupo primário de apoio, inclusive com a situação familiar"
"Z64","Problemas relacionados com algumas outras circuntâncias psicossociais"
"Z65","Problemas relacionados com outras circunstâncias psicossociais"
"Z70","Aconselhamento relativo às atitudes, comportamento e orientação em matéria de sexualidade"
"Z71","Pessoas em contato com os serviços de saúde para outros aconselhamentos e conselho médico, não classificados em outra parte"
"Z72","Problemas relacionados com o estilo de vida"
"Z73","Problemas relacionados com a organização de seu modo de vida"
"Z74","Problemas relacionados com a dependência de uma pessoa que oferece cuidados de saúde"
"Z75","Problemas relacionados com as facilidades médicas e outros cuidados de saúde"
"Z76","Pessoas em contato com os serviços de saúde em outras circunstâncias"
"Z80","História familiar de neoplasia maligna"
"Z81","História familiar de transtornos mentais e comportamentais"
"Z82","História familiar de algumas incapacidades e doenças crônicas que conduzem a incapacitação"
"Z83","História familiar de outros transtornos específicos"
"Z84","História familiar de outras afecções"
"Z85","História pessoal de neoplasia maligna"
"Z86","História pessoal de algumas outras doenças"
"Z87","História pessoal de outras doenças e afecções"
"Z88","História pessoal de alergia a drogas, medicamentos e a substâncias biológicas"
"Z89","Ausência adquirida de membros"
"Z90","Ausência adquirida de órgãos não classificados em outra parte"
"Z91","História pessoal de fatores de risco, não classificados em outra parte"
"Z92","História pessoal de tratamento médico"
"Z93","Orifícios artificiais"
"Z94","Órgãos e tecidos transplantados"
"Z95","Presença de implantes e enxertos cardíacos e vasculares"
"Z96","Presença de outros implantes funcionais"
"Z97","Presença de outros dispositivos protéticos"
"Z98","Outros estados pós-cirúrgicos"
"Z99","Dependência de máquinas e dispositivos capacitantes, não classificados em outra parte"
