code,complexity,sex_restriction,minimum_age_months,maximum_age_months,description
0101010010,N,N,,,"ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA"
0101010028,I,I,84,1571,"ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA"
0101010036,I,I,72,1571,"PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO"
0101010095,I,I,0,1571,"PREVENÇÃO DA COVID-19 NAS ESCOLAS"
0101010109,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DAMALÁRIA"
0101010117,N,N,,,"ATIVIDADE DE EDUCAÇÃO PERMANENTE EM SAÚDE DO TRABALHADOR"
0101010125,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DE ACIDENTE POR ANIMAIS PEÇONHENTOS."
0101010133,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA CÓLERA."
0101010141,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA DOENÇA DE HAFF."
0101010150,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DE DOENÇAS DIARREICAS AGUDAS."
0101010168,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA ESPOROTRICOSE."
0101010176,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA FEBRE MACULOSA BRASILEIRA."
0101010184,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DE LEISHMANIOSE TEGUMENTAR."
0101010192,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA LEISHMANIOSE VISCERAL."
0101010206,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA LEPTOSPIROSE"
0101010214,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA DOENÇA DA RAIVA."
0101010222,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA TOXOPLASMOSE."
0101010230,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DE UMA SÓ SAÚDE."
0101010249,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA HANSENÍASE"
0101010257,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA ESQUISTOSSOMOSE."
0101010265,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DO TRACOMA."
0101010273,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DAS GEO-HELMINTÍASES"
0101010281,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA ONCOCERCOSE."
0101010290,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA FILARIOSE LINFÁTICO."
0101010303,I,I,0,1571,"ATIVIDADES EDUCATIVAS DA POPULAÇÃO SOBRE A TEMÁTICA DA DOENÇA DE CHAGAS."
0101020015,I,I,48,1571,"AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL"
0101020023,I,I,84,1571,"AÇÃO COLETIVA DE BOCHECHO FLUORADO"
0101020031,I,I,36,1571,"AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA"
0101020040,I,I,0,1571,"AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA"
0101020058,I,I,0,1571,"APLICAÇÃO DE CARIOSTÁTICO (POR DENTE)"
0101020066,I,I,0,1571,"APLICAÇÃO DE SELANTE (POR DENTE)"
0101020074,I,I,0,1571,"APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO)"
0101020082,I,I,0,1571,"EVIDENCIAÇÃO DE PLACA BACTERIANA"
0101020090,I,I,0,1571,"SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA"
0101020104,I,I,0,1571,"ORIENTAÇÃO DE HIGIENE BUCAL"
0101020112,I,I,120,1571,"AÇÃO COLETIVA DE PREVENÇÃO DE CÂNCER BUCAL"
0101020120,I,I,120,1571,"ORIENTAÇÃO DE HIGIENIZAÇÃO DE PRÓTESES DENTÁRIAS"
0101030010,I,I,0,1571,"VISITA DOMICILIAR POR PROFISSIONAL DE NÍVEL MÉDIO"
0101030029,I,I,0,1571,"VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NÍVEL SUPERIOR"
0101040024,I,I,0,1571,"AVALIAÇÃO ANTROPOMÉTRICA"
0101040032,I,I,144,599,"COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)"
0101040040,N,N,,,"PASTEURIZAÇÃO DO LEITE HUMANO (CADA 5 LITROS)"
0101040059,I,I,6,599,"ADMINISTRAÇÃO DE VITAMINA A"
0101040075,I,I,0,1571,"MEDIÇÃO DE ALTURA"
0101040083,I,I,0,1571,"MEDIÇÃO DE PESO"
0101040091,I,I,6,35,"DISPENSAÇÃO DE SUPLEMENTO DE MICRONUTRIENTES EM PÓ - NUTRISUS"
0101040105,I,I,108,731,"DISPENSAÇÃO DE SUPLEMENTO DE ÁCIDO FÓLICO "
0101040113,I,I,5,731,"DISPENSAÇÃO DE SUPLEMENTO DE FERRO"
0101040121,I,I,216,1571,"AVALIAÇÃO DO RISCO DE INSEGURANÇA ALIMENTAR"
0101050011,I,I,0,1571,"PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA"
0101050020,I,I,0,1571,"TERAPIA COMUNITÁRIA"
0101050046,I,I,0,1571,YOGA
0101050054,I,I,0,1571,"OFICINA DE MASSAGEM/ AUTO-MASSAGEM"
0101050062,I,I,0,1571,"SESSÃO DE ARTETERAPIA"
0101050070,I,I,0,1571,"SESSÃO DE MEDITAÇÃO"
0101050089,I,I,0,1571,"SESSÃO DE MUSICOTERAPIA"
0101050097,I,I,0,1571,"SESSÃO DE ANTROPOSOFIA APLICADA À SAÚDE"
0101050100,I,I,0,1571,"SESSÃO DE BIODANÇA"
0101050119,I,I,0,1571,"SESSÃO DE BIOENERGÉTICA"
0101050127,I,I,0,1571,"SESSÃO DE CONSTELAÇÃO FAMILIAR"
0101050135,I,I,0,1571,"SESSÃO DE DANÇA CIRCULAR"
0101050143,I,I,0,1571,"SESSÃO DE TERMALISMO"
0101050151,I,I,0,1571,"OFICINA COLETIVA DE SHANTALA"
0101050160,I,I,0,1571,"ATIVIDADE COLETIVA DE AYURVEDA"
0101050178,I,I,0,1571,"ATIVIDADE COLETIVA DE ANTROPOSOFIA APLICADA À SAÚDE"
0101050186,I,I,0,1571,"ATIVIDADES DE PRODUÇÃO DE ARTE, CULTURA, MEMÓRIA COLETIVA E GERAÇÃO DE RENDA."
0101050194,I,I,0,1571,"ATIVIDADES COLETIVAS DE INTEGRAÇÃO COM A COMUNIDADE, CIDADE E TERRITÓRIO"
0101050208,I,I,0,1571,"ACOLHIMENTO INICIAL POR CENTRO DE CONVIVÊNCIA."
0101050216,I,I,0,1571,"FORTALECIMENTO DO PROTAGONISMO DE USUÁRIOS E SEUS FAMILIARES"
0101050224,I,I,0,1571,"PRÁTICAS EXPRESSIVAS E COMUNICATIVAS EM CECO"
0101050232,I,I,0,1571,"ATIVIDADES DE VALORIZAÇÃO DA CULTURA TRADICIONAL, POPULAR E DIVERSIDADE ÉTNICO-RACIAL."
0101050240,I,I,0,1571,"ATIVIDADES DE COMUNICAÇÃO, ARTE E EXPRESSÃO URBANA COMO PROTAGONISMO DE ADOLESCENTES E JOVENS."
