"codigo";"nome";"descricao";"mnemonico";"tipo";"itemexame";"sr_recno"
1.0;ÁCIDO ÚRICO;DETERMINAÇÃO QUANTITATIVA DE ÁCIDO ÚRICO;ACIU;BIOQUÍMICA;0;1
2.0;ALBUMINA;DETERMINAÇÃO QUANTITATIVA DE ALBUMINA;ALB;BIOQUÍMICA;0;2
3.0;ALFAFETOPROTEÍNA;DETERMINAÇÃO QUANTITATIVA DE ALFA FETOPROTEINA;ALFPROT;BIOQUÍMICA;0;3
5.0;AMILASE;DETERMINAÇÃO QUANTITATIVA DE AMILASE;AMI;BIOQUÍMICA;0;4
6.0;ANTICORPOS ANTI - HBS;ANTI - HBS - ANTICORPOS CONTRA ANTIGENO DE SUPERFI...;HBS;IMUNOLÓGICO;0;5
7.0;VITAMINA D;DETERMINAÇÃO QUANTITATIVA DE VITAMINA D;VITD;BIOQUÍMICA;0;6
8.0;VITAMINA B12;DETERMINAÇÃO QUANTITATIVA DE VITAMINA B12;B12;BIOQUÍMICA;0;7
11.0;VDRL;VDRL;VDRL;IMUNOLÓGICO;0;8
12.0;URÉIA;DETERMINAÇÃO QUANTITATIVA DE URÉIA;URE;BIOQUÍMICA;0;9
13.0;ANTICORPOS ANTI - HCV;ANTI - HCV - PESQUISA DE ANTICORPOS CONTRA O VIRUS...;AHCV;IMUNOLÓGICO;0;10
15.0;FERRO SÉRICO;DETERMINAÇÃO QUANTITATIVA DE FERRO SÉRICO;FER;BIOQUÍMICA;0;11
16.0;ANTICORPOS ANTI - HBC;ANTI HBC - ANTICORPOS CONTRA O ANTÍGENO CENTRAL DA...;HBC;IMUNOLÓGICO;0;12
20.0;FOSFATASE ALCALINA;DETERMINAÇÃO QUANTITATIVA DE FOSFATASE ALCALINA;FOSALC;BIOQUÍMICA;0;13
21.0;ANTI TIREOGLOBULINA;PESQUISA DE ANTICORPOS ANTI - TIREOGLOBULINA;ANTITG;IMUNOLÓGICO;0;14
23.0;TSH;DETERMINAÇÃO QUANTITATIVA DE TSH;TSH;DOSAGEM HORMONAL;0;15
24.0;FSH;DETERMINAÇÃO QUANTITATIVA DE FSH;FSH;DOSAGEM HORMONAL;0;16
25.0;T4;DETERMINAÇÃO QUANTITATIVA DE T4;T4;DOSAGEM HORMONAL;0;17
27.0;ASLO;DETERMINAÇÃO QUANTITATIVA DE ASLO;ASLO;IMUNOLÓGICO;0;18
28.0;GAMA-GT;DETERMINAÇÃO QUANTITATIVA DE GAMA-GT;GGT;BIOQUÍMICA;0;19
29.0;T4 livre;DETERMINAÇÃO QUANTITATIVA DE T4 LIVRE;T4L;DOSAGEM HORMONAL;0;20
30.0;BETA – HCG;DETERMINAÇÃO QUANTITATIVA DE BETA - HCG;BHCG;DOSAGEM HORMONAL;0;21
31.0;BILIRRUBINA TOTAL E FRAÇÕES;DETERMINAÇÃO QUANTITATIVA DE BILIRRUBINA TOTAL E FRAÇÕES;BILTOTFRA;BIOQUÍMICA;0;22
31.0;BILIRRUBINA TOTAL;DETERMINAÇÃO QUANTITATIVA DE BILIRRUBINA TOTAL E FRAÇÕES;BILTOTFRATOT;BIOQUÍMICA;1;23
31.0;BILIRRUBINA DIRETA;DETERMINAÇÃO QUANTITATIVA DE BILIRRUBINA TOTAL E FRAÇÕES;BILTOTFRADI;BIOQUÍMICA;1;24
31.0;BILIRRUBINA INDIRETA;DETERMINAÇÃO QUANTITATIVA DE BILIRRUBINA TOTAL E FRAÇÕES;BILTOTFRAIND;BIOQUÍMICA;1;25
32.0;INSULINA;DETERMINAÇÃO QUANTITATIVA DE INSULINA;INSU;DOSAGEM HORMONAL;0;26
33.0;T3 LIVRE;DETERMINAÇÃO QUANTITATIVA DE T3 LIVRE;T3L;DOSAGEM HORMONAL;0;27
